"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.73504641912355,0.844,0.262,0,"0","LYAR"
0,1.67838680924889,0.863,0.284,0,"0","MRTO4"
0,1.9575084577448,0.827,0.254,0,"0","SLC43A3"
0,1.68808567645426,0.931,0.378,0,"0","UBE2S"
0,1.63369343407777,0.973,0.553,0,"0","NME1"
0,1.41117603599838,0.975,0.573,0,"0","DDX21"
0,1.27331134967131,0.983,0.598,0,"0","GPI"
0,1.47898580602576,0.978,0.619,0,"0","CYCS"
0,1.5938656117821,0.979,0.631,0,"0","HSPD1"
0,1.40078310544111,0.98,0.652,0,"0","PGK1"
0,1.36163674397508,0.987,0.682,0,"0","PA2G4"
0,1.59382135811685,0.993,0.714,0,"0","LDHA"
0,1.28977224620024,0.996,0.727,0,"0","ALDOA"
0,1.43534002005675,0.996,0.729,0,"0","TUBA1B"
0,1.38844897347882,0.998,0.737,0,"0","ENO1"
0,1.22964691485273,0.997,0.752,0,"0","TPI1"
0,1.34243526628729,0.997,0.816,0,"0","NPM1"
0,1.21971207911294,0.998,0.821,0,"0","HSP90AA1"
0,1.00076841912257,1,0.9,0,"0","GAPDH"
0,0.99071418965687,1,0.907,0,"0","PPIA"
0,1.05166953134027,1,0.93,0,"0","CFL1"
0,0.845265080997425,1,0.948,0,"0","RPS2"
0,1.07178629013165,1,0.964,0,"0","PTMA"
2.60467007469278e-304,1.38245504328246,0.941,0.416,5.99412724289049e-300,"0","SRM"
1.79843569305196e-296,1.19772325790264,0.999,0.774,4.13874006042048e-292,"0","HSP90AB1"
7.49859332560949e-294,1.23520415254973,0.972,0.642,1.72565128202251e-289,"0","ATP5B"
8.08146996079361e-292,1.32141582499618,0.919,0.357,1.85978868207743e-287,"0","RRM2"
3.75769641502424e-291,1.43785513489311,0.922,0.431,8.64758675989529e-287,"0","PAICS"
9.43137319343837e-289,1.26069638719063,0.969,0.568,2.17044191300597e-284,"0","ALYREF"
4.87840740206697e-288,1.35705606983383,0.983,0.58,1.12266789543767e-283,"0","HMGA1"
4.57337982090279e-286,1.39525577766528,0.905,0.356,1.05247189818436e-281,"0","PHB"
1.71896116587443e-284,1.29867693674671,0.952,0.581,3.95584533102682e-280,"0","SLC25A5"
9.6405143079e-282,1.3529096867803,0.937,0.46,2.21857155767703e-277,"0","PGAM1"
4.07449050490192e-280,1.28975379460449,0.97,0.541,9.37662499893079e-276,"0","NOP56"
