"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.23600056662166e-215,2.24581588880381,0.497,0.091,5.14570810396643e-211,"0","CENPV"
2.14230536432412e-267,2.11823012428613,0.606,0.118,4.93008733491909e-263,"0","HK2"
5.18806987801944e-125,2.10543625437808,0.312,0.056,1.19393052102861e-120,"0","EGR1"
8.1763037729247e-246,2.03756876516061,0.566,0.108,1.88161278726316e-241,"0","POLR3G"
1.14132100771577e-93,2.01574883402123,0.257,0.052,2.6265220350563e-89,"0","VTRNA1-3"
2.02081012817136e-133,1.99177846778599,0.41,0.105,4.65049034796075e-129,"0","AK4"
1.0295432340637e-173,1.98902633034649,0.431,0.084,2.36928784455079e-169,"0","PDGFRA"
0,1.9575084577448,0.827,0.254,0,"0","SLC43A3"
7.71277609159968e-169,1.94519802221986,0.502,0.129,1.77494116195983e-164,"0","TPRG1"
3.76653493906079e-90,1.75284978543697,0.254,0.051,8.66792685526058e-86,"0","HSPD1P1"
1.97044948762709e-233,1.74386816787841,0.643,0.167,4.53459540587621e-229,"0","CDC25A"
0,1.73504641912355,0.844,0.262,0,"0","LYAR"
4.39979582807835e-202,1.69057104018844,0.525,0.111,1.01252501391567e-197,"0","EHD3"
0,1.68808567645426,0.931,0.378,0,"0","UBE2S"
0,1.67838680924889,0.863,0.284,0,"0","MRTO4"
5.53202290836223e-105,1.67541700049379,0.264,0.045,1.2730844319014e-100,"0","COX20P1"
5.08142240408759e-241,1.67506861555103,0.642,0.159,1.16938773785268e-236,"0","TRIP13"
8.35562341617165e-250,1.66406657551291,0.707,0.201,1.92287961676358e-245,"0","ACOT7"
9.80341979216523e-247,1.65308890948704,0.695,0.192,2.25606099677098e-242,"0","CCDC86"
1.53454419362914e-222,1.64563868900882,0.652,0.184,3.53144655279874e-218,"0","CCNB2"
2.12387379746663e-223,4.7891328719921,0.824,0.639,4.88767077010996e-219,"1","IGHA1"
3.03102666598947e-100,4.19537977048668,0.377,0.12,6.97530166644157e-96,"1","IGHA2"
7.76457512737653e-155,2.60808503200996,0.664,0.352,1.78686167406316e-150,"1","AL928768.3"
2.13132082611038e-09,2.48424730037648,0.785,0.857,4.90480861712783e-05,"1","IGHM"
0,2.46115942035223,0.99,0.907,0,"1","IGJ"
3.85555262973516e-16,2.23362220536752,0.502,0.446,8.87278326680951e-12,"1","IGLC3"
1.11949761515962e-90,2.1212541716412,0.347,0.107,2.57629986176683e-86,"1","CD38"
2.84394374659676e-05,1.80859796015165,0.291,0.246,0.654476774404312,"1","IGLC2"
2.92705961027991e-88,1.75414694709867,0.575,0.338,6.73604228113716e-84,"1","TP53INP1"
3.82372610342768e-45,1.72758314683227,0.374,0.205,8.79954088181811e-41,"1","IGF1"
2.80098202000007e-210,1.69239527937315,0.892,0.605,6.44589992262616e-206,"1","DERL3"
9.20014031370844e-163,1.66252113332347,0.869,0.816,2.11722829039372e-158,"1","SSR4"
4.87533442773284e-64,1.64153988964395,0.406,0.191,1.12196071185416e-59,"1","CECR1"
3.71183114601418e-69,1.62972900629856,0.402,0.174,8.54203701632244e-65,"1","ANKRD36BP2"
7.37221549413046e-56,1.60309148457774,0.374,0.176,1.69656795166424e-51,"1","NUGGC"
8.67259707200953e-94,1.58337777182409,0.663,0.446,1.99582476418155e-89,"1","TNFRSF17"
6.77393546630533e-87,1.53493483530429,0.553,0.293,1.55888576886085e-82,"1","ZBP1"
1.84774131060757e-20,1.52603510989074,0.336,0.237,4.2522070781012e-16,"1","KDM5D"
2.86985550204222e-89,1.47542286714469,0.547,0.274,6.60439846684976e-85,"1","FCRL5"
1.66378758417395e-18,1.46841163883044,0.351,0.26,3.82887436745951e-14,"1","DUSP5"
0,5.68947999082583,0.556,0.047,0,"2","CCL17"
3.60205190216432e-187,5.30102576482037,0.26,0.011,8.28940204245075e-183,"2","CYP1B1"
5.55450292981375e-194,5.08657685874925,0.25,0.007,1.27825775923804e-189,"2","DENND5A"
2.96816753322203e-235,4.7518407309081,0.473,0.059,6.83064394420385e-231,"2","CCL22"
2.8298315211743e-201,4.37911838060224,0.321,0.021,6.51229127967842e-197,"2","CXCL10"
1.30912366956311e-176,3.7035617898498,0.328,0.031,3.01268630076559e-172,"2","NCR3"
9.57557518635885e-197,3.58657734454473,0.519,0.103,2.20362711763676e-192,"2","AHR"
9.80227864880636e-183,3.58081909907696,0.442,0.071,2.25579838544981e-178,"2","AICDA"
3.57639681760769e-261,3.44689871148445,0.571,0.083,8.23036199636057e-257,"2","LTA"
3.65834628170581e-234,3.38141972396176,0.366,0.022,8.41895229808959e-230,"2","MNDA"
1.87436041675865e-172,3.32341811729499,0.341,0.036,4.31346562708668e-168,"2","RP11-861A13.4"
4.47043762066902e-231,3.20583456902499,0.385,0.029,1.02878180964456e-226,"2","MCOLN2"
8.49639234337126e-192,3.19783698986378,0.524,0.103,1.95527476998003e-187,"2","SMIM14"
2.65303391592445e-176,3.19584523104213,0.312,0.025,6.10542695071694e-172,"2","ITGAX"
1.77801401848059e-131,3.14714716536397,0.301,0.04,4.09174366072938e-127,"2","RP11-465B22.3"
