"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.09826991581521e-280,6.8549808254138,0.945,0.097,2.52744855726553e-276,"IGHG2"
3.4193182764504e-277,3.76544675390696,0.981,0.17,7.8688771495953e-273,"IGHG3"
6.20891034187275e-274,8.05809463489994,0.939,0.168,1.42885653697518e-269,"IGHG1"
5.54242836813662e-197,8.2355560489235,0.747,0.034,1.27547904035928e-192,"IGHG4"
1.36550523975987e-190,7.11689283771292,0.84,0.263,3.14243720825939e-186,"IGHGP"
3.66602496176509e-131,-1.21628359692299,0.999,0.998,8.43662324450999e-127,"IGJ"
1.10854365238074e-99,-4.52257652451344,0.077,0.485,2.5510915072238e-95,"AL928768.3"
2.64003871559342e-99,-6.36068202508341,0.424,0.758,6.07552109619514e-95,"IGHA1"
3.10223487823122e-65,-7.85781145331108,0.029,0.31,7.13917312527351e-61,"IGHA2"
1.79516973639997e-51,-5.57851630395544,0.723,0.824,4.13122411437726e-47,"IGHM"
3.66535086851368e-45,-1.80523388916874,0.17,0.463,8.43507195371053e-41,"RHOQ"
3.27300774530889e-42,1.04844775268436,0.869,0.74,7.53217272427936e-38,"ITM2C"
1.22432869035032e-35,-0.944482112511132,0.39,0.674,2.8175476151032e-31,"TNFRSF17"
4.22588089405288e-25,-0.493897168773391,0.854,0.956,9.72501970148389e-21,"CALR"
1.48297966788073e-24,0.628779527490061,0.948,0.919,3.41278110969391e-20,"XBP1"
1.15720423270066e-23,-1.30390419579046,0.109,0.291,2.66307410071402e-19,"UTP3"
1.76473673326219e-23,-0.605229612700592,0.703,0.865,4.06118864425627e-19,"UBE2J1"
6.52388856890097e-22,0.417298409239386,0.995,0.988,1.50134247636118e-17,"IFI6"
9.4194361799049e-21,-1.06139924539055,0.25,0.451,2.16769484808152e-16,"S100A6"
6.29285065580557e-20,0.515438725042685,0.967,0.973,1.44817372142054e-15,"HLA-B"
4.19008992389716e-19,0.400147393256558,0.984,0.978,9.64265394186454e-15,"CD74"
1.59933138850123e-18,-1.11481134137239,0.196,0.371,3.68054132435788e-14,"SETX"
4.02635770267381e-17,1.25141575939028,0.391,0.222,9.26585698116324e-13,"RASSF6"
7.34004953196071e-17,0.355708743347676,0.994,0.993,1.68916559879012e-12,"CD79A"
2.65303206048744e-16,0.332301158050402,0.994,0.998,6.10542268079974e-12,"HLA-A"
2.89455851826969e-15,1.15752098226913,0.504,0.355,6.66124751809405e-11,"CCND2"
4.56422767993184e-14,1.01074066051594,0.374,0.226,1.05036571598272e-09,"BCL2L1"
1.34861046189592e-13,1.20968720558619,0.335,0.193,3.10355725596109e-09,"SELL"
6.85284364860381e-13,0.271588999899677,0.991,0.994,1.57704490885319e-08,"B2M"
2.55596294912562e-12,-1.54019830883084,0.132,0.252,5.88203753482279e-08,"IGHJ4"
4.31565796828324e-12,-1.00523117828962,0.135,0.26,9.93162368241023e-08,"C12orf57"
2.09297204522357e-11,0.583094987733664,0.736,0.658,4.816556567673e-07,"CECR1"
2.2551888660474e-11,0.315097484779636,0.976,0.974,5.18986613743487e-07,"HLA-C"
7.28879220092284e-11,0.58590890724705,0.815,0.753,1.67736974919837e-06,"RNF213"
1.20238838650593e-10,-0.893184317773427,0.145,0.262,2.76705639386611e-06,"S100A4"
