"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.99643619074429,0.923,0.152,0,"0","TYMS"
0,2.52893273519289,0.917,0.153,0,"0","CCT5"
0,1.97827966084036,0.862,0.098,0,"0","IL2RA"
0,2.84332146987593,0.926,0.17,0,"0","PCNA"
0,3.15525877209513,0.854,0.099,0,"0","FABP5"
0,2.62587823391896,0.871,0.127,0,"0","MCM4"
0,2.40877500200263,0.88,0.137,0,"0","RRM1"
0,2.49068769718827,0.878,0.136,0,"0","LMNB1"
0,2.55320062171118,0.837,0.095,0,"0","MRTO4"
0,2.42339151878621,0.852,0.111,0,"0","BZW2"
0,2.30044409671712,0.947,0.207,0,"0","STMN1"
0,2.62180658572923,0.864,0.125,0,"0","KIAA0101"
0,2.56508993178589,0.853,0.117,0,"0","DHFR"
0,3.44055321218463,0.801,0.066,0,"0","SLC43A3"
0,1.95907804323942,0.853,0.119,0,"0","IL2RB"
0,2.18304269099648,0.934,0.201,0,"0","CCT6A"
0,1.80302878839653,0.923,0.191,0,"0","POLR2E"
0,2.11745798746303,0.913,0.183,0,"0","MRPL37"
0,1.96668767405787,0.881,0.151,0,"0","PHB"
0,1.96043547636431,0.91,0.181,0,"0","NHP2"
0,1.64711501510179,0.887,0.158,0,"0","YWHAH"
0,2.46147306537276,0.824,0.096,0,"0","MCM2"
0,1.89056502314754,0.915,0.188,0,"0","HSPH1"
0,1.85591190657901,0.889,0.162,0,"0","RTN4"
0,2.23456655932575,0.917,0.195,0,"0","PAICS"
0,2.29547295001619,0.866,0.145,0,"0","HSPE1"
0,2.62895889843829,0.806,0.086,0,"0","LYAR"
0,1.49105201023624,0.943,0.223,0,"0","COTL1"
0,1.99701445577636,0.909,0.19,0,"0","EZH2"
0,2.1654858593039,0.94,0.222,0,"0","PGAM1"
0,2.12858455449163,0.959,0.242,0,"0","ARPC4"
0,2.58697124587303,0.811,0.095,0,"0","POLR3K"
0,1.97730760498177,0.874,0.16,0,"0","EBNA1BP2"
0,2.41777254668481,0.829,0.115,0,"0","ZWINT"
0,2.49205604846616,0.81,0.097,0,"0","MCM6"
0,1.70569092606269,0.867,0.154,0,"0","DNAJC9"
0,1.73101539740922,0.902,0.19,0,"0","CDC123"
0,1.82769137515055,0.843,0.131,0,"0","CDK4"
0,1.97928986225915,0.878,0.167,0,"0","RPA3"
0,1.91617331154231,0.842,0.132,0,"0","MCM7"
0,2.37997864448923,0.891,0.181,0,"0","PPP1R14B"
0,2.12557919770864,0.854,0.144,0,"0","RRM2"
0,1.73763397877566,0.901,0.192,0,"0","DKC1"
0,2.06463024861999,0.85,0.141,0,"0","BIRC5"
0,2.3480356994488,0.854,0.145,0,"0","C1QBP"
0,2.0544986700642,0.83,0.122,0,"0","AHCY"
