"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.20432269473699,0.523,0.011,0,"0","ZBED2"
0,4.96801741595062,0.299,0.005,0,"0","RP11-701P16.5"
0,4.86519738945818,0.509,0.016,0,"0","TPRG1"
0,4.83265250767981,0.561,0.011,0,"0","TNFRSF8"
0,4.30547365268112,0.443,0.01,0,"0","FUT7"
0,4.14196992736744,0.334,0.01,0,"0","HMSD"
0,3.56358076170069,0.4,0.02,0,"0","AK4"
0,3.55376701758029,0.308,0.011,0,"0","MYB"
0,3.44055321218463,0.801,0.066,0,"0","SLC43A3"
0,3.38425817918728,0.381,0.011,0,"0","CDCA7"
0,3.37055301438795,0.703,0.037,0,"0","ACOT7"
0,3.30717889748107,0.376,0.016,0,"0","ARNTL2"
0,3.2013064751195,0.538,0.027,0,"0","CMTM3"
0,3.19317469385071,0.315,0.014,0,"0","TNF"
0,3.16462085672603,0.557,0.032,0,"0","DUSP4"
0,3.15525877209513,0.854,0.099,0,"0","FABP5"
0,3.15402789964415,0.362,0.019,0,"0","DSCC1"
0,3.15028851623974,0.617,0.041,0,"0","EBI3"
0,3.13342037573616,0.399,0.023,0,"0","UHRF1"
0,3.02972182099798,0.389,0.013,0,"0","SYT11"
0,2.99643619074429,0.923,0.152,0,"0","TYMS"
0,2.99050523894374,0.55,0.03,0,"0","BCAT1"
0,2.9113310829527,0.764,0.071,0,"0","TMEM97"
9.10346445602324e-298,2.8894824916808,0.273,0.011,2.09498027526463e-293,"0","AC017002.1"
0,2.86490717531207,0.772,0.07,0,"0","GINS2"
0,2.84332146987593,0.926,0.17,0,"0","PCNA"
4.94408016032475e-272,2.8288843319047,0.267,0.015,1.13778116729553e-267,"0","RAD54L"
0,2.8281052547155,0.998,0.575,0,"0","ACTG1"
0,2.7991484333714,0.418,0.022,0,"0","SORD"
0,2.77551419658033,0.373,0.025,0,"0","PDGFRA"
2.13878826825355e-72,2.5396725090804,0.255,0.111,4.9219934417319e-68,"1","LILRB4"
2.45640575937578e-39,1.62502171871765,0.396,0.303,5.65292657405148e-35,"1","GGH"
1.1978291909385e-92,1.61289476896672,0.835,0.76,2.75656431710676e-88,"1","SNORD3A"
1.13878123605784e-83,1.49090853330406,0.553,0.404,2.6206772585399e-79,"1","NT5DC2"
1.07344238915869e-14,1.43792562112677,0.279,0.228,2.47031297017089e-10,"1","MT-TN"
1.32839611079114e-110,1.42710932881995,0.929,0.8,3.05703796976365e-106,"1","hsa-mir-6723"
1.04287294840315e-70,1.41063939883794,0.323,0.158,2.39996351616016e-66,"1","IGF1"
2.06232203738909e-137,1.40166489208504,0.54,0.279,4.7460217046435e-133,"1","TP53INP1"
6.48050598186778e-113,1.38173946580663,0.352,0.135,1.49135884160723e-108,"1","NUGGC"
8.35212135997867e-06,1.37795696981177,0.264,0.251,0.192207368857189,"1","APOBEC3B"
1.3294862073555e-56,1.37622912118886,0.442,0.296,3.0595466089872e-52,"1","AL928768.3"
6.4632852850425e-17,1.34061550793802,0.312,0.255,1.48739584264683e-12,"1","PHGDH"
