"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage"
6.07380490117549e-188,5.34113763091202,0.26,0.032,1.39776472190752e-183,"CTA-250D10.23","MBC"
2.95997610537638e-176,-3.50726451307622,0.023,0.528,6.81179301130266e-172,"LINC00152","MBC"
6.3375738104502e-148,-1.4191295820696,0.201,0.742,1.4584658609989e-143,"NEAT1","MBC"
5.37559266504413e-146,-4.30902565382892,0.012,0.449,1.2370851400066e-141,"MIR4435-1HG","MBC"
1.17874153346032e-110,-4.33014575083109,0.012,0.37,2.71263789095224e-106,"AC104699.1","MBC"
1.82474563789786e-104,-4.84398361638048,0.005,0.344,4.19928713649435e-100,"RP11-16E12.2","MBC"
1.74362060654958e-95,-1.03070258691775,0.104,0.502,4.01259410185255e-91,"AC009501.4","MBC"
4.59371918408141e-93,-0.67017865383193,0.191,0.628,1.05715259583265e-88,"RP11-94L15.2","MBC"
4.18338747447296e-84,-2.230120263237,0.06,0.379,9.62722959500462e-80,"AL928768.3","MBC"
9.47518207709264e-84,-1.81125964635057,0.038,0.353,2.18052365140133e-79,"MIAT","MBC"
1.07532327065355e-80,-2.13724806747316,0.028,0.325,2.47464144275501e-76,"RP11-284N8.3","MBC"
7.7802216986336e-63,-1.51839653286379,0.03,0.279,1.79046241950655e-58,"TAPSAR1","MBC"
3.43850764023014e-56,-0.797498556949115,0.034,0.267,7.91303763246163e-52,"GS1-251I9.4","MBC"
8.72462186896926e-56,-1.74123541704253,0.021,0.241,2.0077972307059e-51,"CTC-444N24.11","MBC"
4.0560520299808e-54,-0.866565616198489,0.025,0.244,9.33419253659482e-50,"CTC-503J8.6","MBC"
7.55715708797774e-54,-1.35692163327617,0.015,0.224,1.73912856065632e-49,"CTC-228N24.3","MBC"
2.11048086728047e-53,-4.68162848871657,0.002,0.196,4.85684961987254e-49,"AC009948.5","MBC"
5.29355179261568e-51,-1.16853889412504,0.028,0.24,1.21820507403465e-46,"RP1-17K7.2","MBC"
5.45131645613732e-50,-2.15382863325743,0.008,0.197,1.25451145605088e-45,"LINC00116","MBC"
5.62774809880849e-43,-2.38769165250547,0.004,0.166,1.2951136699788e-38,"RAB30-AS1","MBC"
5.3153701103578e-42,-3.19411985328269,0.008,0.17,1.22322612349664e-37,"RP11-568N6.1","MBC"
1.13231170536496e-41,-1.01950000672958,0.018,0.19,2.60578892755639e-37,"RP11-139H15.1","MBC"
1.65404296055554e-39,-2.29767947823898,0.016,0.178,3.80644906512647e-35,"AC006129.2","MBC"
1.05361792947149e-38,-0.865382721926176,0.011,0.165,2.42469094109273e-34,"RP11-145M9.4","MBC"
2.24700538529923e-38,4.28753873470266,0.132,0.04,5.17103349318911e-34,"AC079767.4","MBC"
4.0012660771988e-36,-3.83373249578523,0.002,0.138,9.2081136234576e-32,"RP11-290F5.1","MBC"
2.38504397492563e-35,-1.22369897410415,0.013,0.159,5.48870169949636e-31,"NNT-AS1","MBC"
3.23314583316453e-33,-0.689716583024574,0.024,0.172,7.44043850586154e-29,"CTC-241F20.3","MBC"
4.36472694956025e-33,0.499586995990176,0.041,0.204,1.0044546129023e-28,"SNHG15","MBC"
1.19271007963052e-31,-1.40900997457885,0.013,0.144,2.74478370625372e-27,"RP6-109B7.3","MBC"
4.30284741973371e-31,1.43958022554146,0.569,0.516,9.90214276703318e-27,"ZFAS1","MBC"
2.03932293829898e-29,-6.88702465965143,0,0.111,4.69309387790745e-25,"RP11-701P16.5","MBC"
2.33324880333599e-29,-0.480984523866532,0.023,0.156,5.36950547111711e-25,"ZSCAN16-AS1","MBC"
7.07577174495356e-29,0.389179718910592,0.14,0.357,1.62834735166616e-24,"TUG1","MBC"
1.61531922960863e-28,-1.7848433880466,0.01,0.127,3.71733414309834e-24,"CTA-445C9.15","MBC"
2.47347259752414e-28,-3.72677300767458,0.003,0.113,5.6922024886823e-24,"RP11-295G20.2","MBC"
2.93651754310003e-28,-6.30718294906592,0,0.106,6.75780782193611e-24,"AC017002.1","MBC"
3.35415415103612e-28,-1.56348080471315,0.028,0.158,7.71891494777942e-24,"AC159540.1","MBC"
3.52712336837198e-28,-6.92714178404866,0,0.106,8.11696900763445e-24,"VTRNA2-1","MBC"
4.17494608829697e-27,0.883741860022425,0.102,0.287,9.60780343299781e-23,"FGD5-AS1","MBC"
5.58535917130406e-27,-0.91728179573906,0.024,0.148,1.2853587060922e-22,"LINC00969","MBC"
1.64930762516049e-26,-0.787469458919384,0.021,0.141,3.79555163778182e-22,"LINC00667","MBC"
3.99689455382159e-26,-1.85429288864297,0.003,0.105,9.19805343670962e-22,"RP11-545E17.3","MBC"
4.23596907887401e-26,-2.33776294152712,0.003,0.105,9.74823564121276e-22,"AP001046.5","MBC"
9.54764803505625e-26,-1.38754909338297,0.011,0.119,2.19720024230749e-21,"SNORD3D","MBC"
1.30245303050816e-25,-2.02724994705754,0.005,0.107,2.99733515910842e-21,"TMPO-AS1","MBC"
6.40843329744766e-25,-1.36503506156243,0.007,0.108,1.47477275474163e-20,"AC108488.3","MBC"
9.45173444550589e-25,-0.483073964037916,0.016,0.126,2.17512764794427e-20,"LINC00909","MBC"
9.58503337190081e-25,-1.08097089283169,0.01,0.113,2.20580372987553e-20,"PITPNA-AS1","MBC"
1.45275977934369e-24,-3.22480233885895,0.004,0.101,3.34323608020364e-20,"RP11-25K19.1","MBC"
2.10601161480627e-24,0.440421523711256,0.037,0.161,4.84656452915366e-20,"RP11-304L19.5","MBC"
4.21257614652142e-24,-2.28555953340132,0.006,0.103,9.69440148598975e-20,"TMEM161B-AS1","MBC"
2.32758307936607e-22,1.07083676650587,0.109,0.278,5.35646694054513e-18,"SNHG7","MBC"
2.26024674356236e-21,0.518525802917627,0.034,0.144,5.20150583096006e-17,"HCG18","MBC"
