"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.425675717646092,29.5247692315271,0.815910722306105,2794.45074107355,2776.23505811092,3032.90588135247
2,0.0523218798144469,4.2061829487536,0.583492628372775,1423.02951713001,1398.74849049677,1728.64757198132
3,0.120500753242375,-3.26408882141911,0.156607713438972,729.920465891768,706.032154078201,1032.49404876986
4,0.819152068375536,-5.31301940325037,0.784169289278227,377.872958400876,357.105386500308,649.751640554199
5,0.905053310538005,-4.46139545518703,0.977081119573675,198.000193757326,181.077215157408,432.634286868141
6,0.900035943259743,-3.47222147209343,0.984834369815022,105.43192206589,92.1978231931981,304.907082014411
7,0.886764790982503,-2.76183199694011,0.977422928846415,57.3604692392053,47.0768391526374,226.581072950178
8,0.890364441271947,-2.31317716784994,0.971092734387439,32.1060568846857,24.1524647591482,176.304584266652
9,0.902269991402884,-2.04319197983533,0.959190101505306,18.6383338736478,12.4597572589675,142.45357711142
10,0.925060261325391,-1.79955570597483,0.972191309174053,11.3151291047353,6.48864539844181,118.561342828122
12,0.959109971320247,-1.47293565126279,0.987935958378354,4.88253812023308,1.81705604067427,88.1074776307
14,0.967804913732469,-1.29079141370808,0.9741196182197,2.59990715704392,0.53457592450088,69.3911078228907
16,0.978097904375807,-1.18023010424439,0.976871504334144,1.62845105052868,0.167234573647699,56.3656124476188
18,0.978723900489715,-1.11788334610751,0.974351733901993,1.12957623117107,0.0565112524847948,46.7048894601502
20,0.970880166827672,-1.09813428942675,0.963241178517516,0.831762625423319,0.0206356505940537,39.2454804703433
22,0.970788079809544,-1.08277673161421,0.962442503037949,0.635105143858502,0.00815820764958541,33.3281154354868
24,0.967054983015413,-1.07996628439425,0.958058198623306,0.496779954364039,0.00349139172277257,28.5418892882086
26,0.960938668288875,-1.08378653346196,0.950214842058032,0.395463661893915,0.00158665147718429,24.6126270748008
28,0.96468878678541,-1.08998891161532,0.954648976287225,0.319157297043054,0.000747503094037372,21.3483259209405
30,0.963194282165689,-1.09709444205271,0.953246981003351,0.260485937824328,0.000368107548913255,18.6097066869564
