"gene_name","module","kME"
"IFI6","blue",0.897683195890934
"MX1","blue",0.826603350663409
"ISG15","blue",0.825886862675865
"XAF1","blue",0.823322569567317
"IGJ","blue",0.701130022227207
"IFI44L","blue",0.672833307840769
"RSAD2","blue",0.656787760616366
"IGHG2","blue",0.630338480805907
"IFIT1","blue",0.625865351162713
"IGHG1","blue",0.618113827999994
"IFIT3","blue",0.594058766018135
"IGHGP","blue",0.541064165222352
"IGHG4","blue",0.538829321761042
"IGHG3","blue",0.535683636113188
"ITGA6","blue",0.475879337879115
"TNFSF10","blue",0.47543000298522
"IFI27","blue",0.470268040922882
"RP11-16E12.2","blue",0.420764692952441
"RASSF6","blue",0.359447838470918
"RP11-284N8.3","blue",0.331857490078045
"HIST1H2BK","blue",0.326620948716139
"AC096579.7","blue",0.325235469824027
"DUSP5","blue",0.321474286941763
"MALAT1","blue",0.310483764913473
"LGALS3BP","blue",0.310149211674919
"CCL17","yellow",0.734774830303463
"TRAF1","yellow",0.719072171041043
"DEK","yellow",0.664617603738133
"CCR7","yellow",0.652431818454008
"LTA","yellow",0.649735884255605
"MIR155HG","yellow",0.645598075841455
"CCL22","yellow",0.630257076624488
"PEA15","yellow",0.626136154098008
"BATF3","yellow",0.615850415490923
"SPIB","yellow",0.612684996744995
"BIRC3","yellow",0.60339207633141
"TNF","yellow",0.585114171359858
"CAPG","yellow",0.580493609575854
"CD40","yellow",0.575396418530774
"ARID5A","yellow",0.556515059095918
"CD22","yellow",0.52952533036312
"PAX5","yellow",0.529349577467307
"AICDA","yellow",0.522817722822688
"RAB13","yellow",0.521734607522161
"CYP1B1","yellow",0.506331777354708
"CXCL10","yellow",0.50583489705988
"AHR","yellow",0.502019448012097
"LACTB","yellow",0.500310749707878
"BHLHE40","yellow",0.492362745470838
"STAT5A","yellow",0.488273901584665
"ACTG1","turquoise",0.845622718569418
"TUBA1B","turquoise",0.843720295211917
"TYMS","turquoise",0.828950118791058
"DUT","turquoise",0.817481955831046
"LDHA","turquoise",0.817292426970221
"TUBB","turquoise",0.816255143683823
"ENO1","turquoise",0.80726302222878
"HSPD1","turquoise",0.800849046618788
"RAN","turquoise",0.799006624671581
"ACTB","turquoise",0.796844721858336
"STMN1","turquoise",0.788636326320954
"H2AFZ","turquoise",0.785394376410986
"PCNA","turquoise",0.770067694801292
"NME1","turquoise",0.762056600335478
"TPI1","turquoise",0.756132034409718
"CBX3","turquoise",0.753874769798238
"PFN1","turquoise",0.751187704250436
"PRDX3","turquoise",0.747423772528854
"LCP1","turquoise",0.746605968857229
"FABP5","turquoise",0.739705946537134
"PGK1","turquoise",0.738809924869482
"PKM","turquoise",0.73775509218536
"RANBP1","turquoise",0.736706524685029
"PPIA","turquoise",0.73522279347282
"TFRC","turquoise",0.733680194365891
"MS4A1","brown",0.760451505991218
"KLF6","brown",0.668817863645997
"LAPTM5","brown",0.603758817040836
"LTB","brown",0.593691648958502
"ZFP36L1","brown",0.555716844170151
"HLA-DMB","brown",0.532033765194301
"NFKBIA","brown",0.491307543498877
"CD82","brown",0.486553625534
"CD83","brown",0.486148938839788
"CD69","brown",0.473787651964472
"CXCR5","brown",0.438471420182372
"TSC22D3","brown",0.435987548859506
"PMAIP1","brown",0.435336200816038
"REL","brown",0.429552397572961
"JUNB","brown",0.424129570161421
"RUNX3","brown",0.42320702695659
"PIKFYVE","brown",0.402988289213104
"CD52","brown",0.384780398815307
"MARCH1","brown",0.368584919167073
"SESN3","brown",0.360260945713216
"AC079767.4","brown",0.350300682670396
"DUSP2","brown",0.345385791087423
"RAB11FIP1","brown",0.34398065739408
"RGS2","brown",0.340758804454134
"SPOCK2","brown",0.330888165228058
