"motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust","transition","direction","key","padj","significant","log2_fold_enrichment"
"MA0506.1",2697,580,11.5518053711398,1.45,7.96676232492397,0,"NRF1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.99399371624786
"MA0632.2",1668,455,7.14438685912537,1.1375,6.28077965637395,0,"TCFL5",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.65094388699653
"MA1650.1",2039,570,8.73345611855913,1.425,6.12874113583097,0,"ZBTB14",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.61559100530069
"MA0527.1",1000,297,4.28320555103439,0.7425,5.76862700476013,0,"ZBTB33",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.52822823289256
"MA1513.1",6118,1896,26.2046515612284,4.74,5.52840750236887,0,"KLF15",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.4668642225582
"MA0131.2",947,304,4.05619565682957,0.76,5.33709954845996,0,"HINFP",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.41605619127716
"MA0156.2",1288,433,5.5167687497323,1.0825,5.09632217065339,0,"FEV",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.34945676541134
"MA0028.2",1493,520,6.39482588769435,1.3,4.91909683668796,0,"ELK1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.29839374932854
"MA0759.1",1401,505,6.00077097699919,1.2625,4.75308592237559,0,"ELK3",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.24886478525766
"MA0763.1",1311,494,5.61528247740609,1.235,4.54678743109805,0,"ETV3",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.18484787487486
"MA0162.4",3783,1444,16.2033665995631,3.61,4.48846720209504,0,"EGR1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.16622317452277
"MA0740.1",3884,1499,16.6359703602176,3.7475,4.43921824155239,0,"KLF14",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.15030596139778
"MA0474.2",1375,533,5.88940763267229,1.3325,4.41981811082348,0,"ERG",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.14398732589315
"MA0475.2",1343,528,5.75234505503919,1.32,4.35783716290848,0,"FLI1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.12361262006449
"MA1475.1",787,314,3.37088276866407,0.785,4.29411817664213,0,"CREB3L4(var.2)",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.10236223152381
"MA0732.1",2225,893,9.53013235105153,2.2325,4.26881628266586,0,"EGR3",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.09383641251919
"MA0765.2",1930,793,8.26658671349638,1.9825,4.16977892231848,0,"ETV5",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.05997124137775
"MA0076.2",2207,937,9.45303465113291,2.3425,4.03544702289558,0,"ELK4",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,2.01272885306397
"MA1483.1",1562,684,6.69036707071572,1.71,3.91249536299165,0,"ELF2",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.96808941093437
"MA0472.2",1262,565,5.4054054054054,1.4125,3.82683568524276,0,"EGR2",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.93615233361215
"MA0098.3",1342,610,5.74806184948816,1.525,3.76922088491027,0,"ETS1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.91426672544467
"MA0685.1",4920,2240,21.0733713110892,5.6,3.76310201983736,0,"SP4",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.91192278559874
"MA1122.1",1712,797,7.33284790337088,1.9925,3.68022479466544,0,"TFDP1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.87979428336132
"MA0615.1",404,189,1.7304150426179,0.4725,3.66225405845057,0,"Gmeb1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.87273227140498
"MA1143.1",728,343,3.11817364115304,0.8575,3.63635410047002,0,"FOSL1::JUND(var.2)",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.86249308970596
"MA1484.1",1175,556,5.03276652246541,1.39,3.62069533990317,0,"ETS2",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.85626718612476
"MA1564.1",5313,2556,22.7566710926457,6.39,3.56129438069573,0,"SP9",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.83240210056809
"MA0760.1",1379,666,5.90654045487643,1.665,3.54747174467053,0,"ERF",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.82679160006321
"MA0748.2",1372,664,5.87655801601919,1.66,3.54009519037301,0,"YY2",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.82378856129379
"MA0750.2",2446,1201,10.4767207778301,3.0025,3.4893324822082,0,"ZBTB7A",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.80295148521839
"MA0594.2",111,56,0.475435816164818,0.14,3.39597011546298,0,"HOXA9",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.76382418805599
"MA0746.2",5392,2745,23.0950443311775,6.8625,3.36539808104589,0,"SP3",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.750777594912
"MA0733.1",2082,1067,8.91763395725361,2.6675,3.34306802521222,0,"EGR4",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.74117314296109
"MA0079.4",5145,2638,22.037092560072,6.595,3.34148484610644,0,"SP1",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.74048976322035
"MA1129.1",561,290,2.4028783141303,0.725,3.31431491604179,0,"FOSL1::JUN(var.2)",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.72871112482383
"MA0641.1",1606,835,6.87882811496124,2.0875,3.29524700117904,0,"ELF4",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.72038704690468
"MA0060.3",1521,836,6.51475564312331,2.09,3.1171079632169,0,"NFYA",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.64020858741276
"MA0645.1",1927,1066,8.25373709684328,2.665,3.09708709074795,0,"ETV6",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.63091241829763
"MA1140.2",696,396,2.98111106351994,0.99,3.01122329648479,0,"JUNB(var.2)",0,"T1_MBC_to_prePB","opening","T1_MBC_to_prePB_opening",0,TRUE,1.59035017381295
