"transition","motif.name","fold.enrichment","pvalue","padj","matched_modules"
"T1_MBC_to_prePB","ETV5",4.16977892231848,0,0,"turquoise"
"T1_MBC_to_prePB","EGR2",3.82683568524276,0,0,"yellow"
"T1_MBC_to_prePB","ETS1",3.76922088491027,0,0,"turquoise"
"T1_MBC_to_prePB","FOSL1::JUND(var.2)",3.63635410047002,0,0,"turquoise"
"T1_MBC_to_prePB","FOSL1::JUN(var.2)",3.31431491604179,0,0,"turquoise"
"T1_MBC_to_prePB","HES1",2.94210172165308,0,0,"brown"
"T1_MBC_to_prePB","FOSB::JUNB(var.2)",2.89940068070021,0,0,"brown"
"T1_MBC_to_prePB","KLF2",2.6937093983482,0,0,"brown"
"T1_MBC_to_prePB","FOSB::JUN",2.55434803770778,0,0,"brown"
"T1_MBC_to_prePB","KLF6",2.48832346024786,0,0,"brown"
"T1_MBC_to_prePB","PAX5",2.24794443057736,0,0,"yellow"
"T1_MBC_to_prePB","IRF4",2.21897681127782,0,0,"blue"
"T1_MBC_to_prePB","TFEC",2.16390518092312,0,0,"brown"
"T1_MBC_to_prePB","FOS::JUN(var.2)",1.95263782473627,0,0,"brown"
"T1_MBC_to_prePB","BHLHE40",1.8468714773661,0,0,"yellow"
"T1_MBC_to_prePB","JUN::JUNB",1.75338031493408,0,0,"brown"
"T1_MBC_to_prePB","FOSL1::JUN",1.65152006394607,1.52676014830025e-246,8.62850811084838e-246,"turquoise"
"T1_MBC_to_prePB","IRF9",1.68644229006785,1.15537786829013e-237,6.48054052439428e-237,"blue"
"T1_MBC_to_prePB","FOS::JUN",1.68371738485873,9.71912714020965e-237,5.41079764671373e-236,"brown"
"T1_MBC_to_prePB","FOSL1::JUND",1.66181603513651,1.19575489734891e-234,6.60765298831323e-234,"turquoise"
"T1_MBC_to_prePB","FOS::JUND",1.59150188140177,1.94283279696642e-198,1.03525233324068e-197,"brown"
"T1_MBC_to_prePB","FOSL1::JUNB",1.61640413978618,1.08524925015324e-197,5.74181518166184e-197,"brown,turquoise"
"T1_MBC_to_prePB","FOS::JUNB",1.62560586517446,1.90464007037993e-189,9.79904477588573e-189,"brown"
"T1_MBC_to_prePB","FOSB::JUNB",1.60540363818389,2.33919216596721e-176,1.17907929446725e-175,"brown"
"T1_MBC_to_prePB","FOSL2::JUNB",1.56704278264939,5.14472132233781e-159,2.55864140430934e-158,"brown"
"T2_prePB_to_PB","KLF2",3.46530124190262,0,0,"brown"
"T2_prePB_to_PB","KLF6",3.30328245598393,0,0,"brown"
"T2_prePB_to_PB","ETV5",3.6035344964841,2.32720077560662e-311,5.26088417758346e-310,"turquoise"
"T2_prePB_to_PB","EGR2",3.52920416446091,2.47647783661949e-229,4.29640108399568e-228,"yellow"
"T2_prePB_to_PB","ETS1",3.61512111977551,1.27940598542886e-209,2.030716734319e-208,"turquoise"
"T2_prePB_to_PB","HES1",3.49218454035818,1.88276961716003e-205,2.92613778000287e-204,"brown"
"T2_prePB_to_PB","TFEC",2.4532272850521,1.81944547777622e-80,1.96711061800154e-79,"brown"
"T2_prePB_to_PB","PAX5",2.61481944912331,3.04960873468168e-71,3.07433529198991e-70,"yellow"
"T2_prePB_to_PB","IRF4",2.76485780798676,3.74471540206406e-71,3.72474358658638e-70,"blue"
"T2_prePB_to_PB","FOSL1::JUND(var.2)",2.91391528052529,4.40626389885514e-67,4.10884108568242e-66,"turquoise"
"T2_prePB_to_PB","IRF9",2.11638770634071,9.60613736166931e-52,7.78932442587533e-51,"blue"
"T2_prePB_to_PB","FOSL1::JUN(var.2)",2.76625949760796,3.34130017002239e-48,2.623799922986e-47,"turquoise"
"T2_prePB_to_PB","FOSB::JUN",2.23408337016333,1.25990711805768e-43,9.21461480461794e-43,"brown"
"T2_prePB_to_PB","FOSB::JUNB(var.2)",2.37528932195609,1.8268915864394e-40,1.27370198456429e-39,"brown"
"T2_prePB_to_PB","POU3F1",1.84910415377389,1.88122296614722e-24,1.01695096575785e-23,"brown"
"T2_prePB_to_PB","BHLHE40",1.92758486780059,6.75030144834007e-23,3.5462851270857e-22,"yellow"
"T2_prePB_to_PB","FOS::JUN(var.2)",1.67534205472464,8.36001486733903e-18,3.99780198143264e-17,"brown"
"T3_PB_to_PC","KLF2",2.78018703255398,1.08938749424551e-73,6.77235892255956e-72,"brown"
"T3_PB_to_PC","KLF6",2.56718812675491,5.73682436595329e-47,1.86072651173963e-45,"brown"
"T3_PB_to_PC","IRF4",3.58312692579582,8.72190575377585e-24,1.85901191209051e-22,"blue"
"T3_PB_to_PC","IRF9",2.71994461203699,2.62988247007571e-21,5.30241168290941e-20,"blue"
"T3_PB_to_PC","EGR2",3.14349566541418,1.95570823369791e-19,3.32398052483373e-18,"yellow"
"T3_PB_to_PC","ETV5",2.7214662593724,4.20299679029977e-19,6.81616435992093e-18,"turquoise"
"T3_PB_to_PC","REL",2.39166534773357,1.67434979456935e-18,2.65758499308241e-17,"brown"
"T3_PB_to_PC","HES1",2.77256317689531,9.36667094431192e-15,1.16458942074278e-13,"brown"
"T3_PB_to_PC","ETS1",2.46121897638287,5.13279385545093e-11,5.03824238969262e-10,"turquoise"
"T3_PB_to_PC","Ahr::Arnt",1.50373951302265,3.32854941837687e-09,2.69901941968385e-08,"yellow"
"T3_PB_to_PC","FOSL1::JUND(var.2)",2.59021223551505,5.37689060889767e-08,4.09302081044659e-07,"turquoise"
"T3_PB_to_PC","FOSB::JUN",2.29213225603117,6.35149034133897e-08,4.78607251983724e-07,"brown"
"T3_PB_to_PC","FOSL1::JUN(var.2)",2.09281640768064,0.000469478773472808,0.00198994980119724,"turquoise"
"T3_PB_to_PC","E2F7",1.7772840877534,0.000726836360025723,0.00291675918634941,"turquoise"
"T3_PB_to_PC","TFEC",1.61917901015291,0.000746045910003634,0.00296037366416336,"brown"
"T3_PB_to_PC","POU3F1",1.61424040777116,0.00113203747143538,0.00435309254479791,"brown"
"T3_PB_to_PC","FOSB::JUNB(var.2)",1.66977172056061,0.00710451032006513,0.0211153972062494,"brown"
"T3_PB_to_PC","FOS::JUN(var.2)",1.51391638523349,0.00736914258287665,0.0217287761534624,"brown"
"T3_PB_to_PC","PAX5",1.52713757151439,0.0104071329884995,0.0296325237000786,"yellow"
