"motif","T1_MBC_to_prePB","T2_prePB_to_PB","T3_PB_to_PC","specificity","top_transition"
"CREB3L4(var.2)",1.0829118517392,-0.194358762207766,-0.88855308953143,1,"T1_MBC_to_prePB"
"EGR3",-1.08712988488841,0.880627933644502,0.206501951243856,1,"T2_prePB_to_PB"
"Creb5",0.778899264786815,0.348782682996482,-1.1276819477833,1,"T1_MBC_to_prePB"
"KLF13",-0.0627563373743532,1.0299001922748,-0.967143854900444,1,"T2_prePB_to_PB"
"XBP1",0.563607939310672,0.59098441710258,-1.15459235641325,1,"T2_prePB_to_PB"
"BHLHE40",0.479663821919842,0.669806458644142,-1.14947028056398,1,"T2_prePB_to_PB"
"ZNF682",-0.691317302864926,1.14663323908782,-0.455315936222899,1,"T2_prePB_to_PB"
"FOSL1::JUNB",0.881385977335958,-1.08673406260729,0.205348085271328,1,"T1_MBC_to_prePB"
"IRF3",-0.817867339900887,-0.29698400282917,1.11485134273006,1,"T3_PB_to_PC"
"TFAP2B",-0.604360647521894,-0.549911898827188,1.15427254634908,1,"T3_PB_to_PC"
"TBP",0.195894000689161,-1.08345151853336,0.887557517844197,1,"T3_PB_to_PC"
"NFATC3",0.0528499743213679,-1.02537701812147,0.972527043800099,1,"T3_PB_to_PC"
"Stat2",-0.759866237657734,-0.373029347467369,1.1328955851251,1,"T3_PB_to_PC"
"NRF1",0.983967128946181,0.0313294554920697,-1.01529658443825,1,"T1_MBC_to_prePB"
"ZBTB33",0.466356318585565,-1.1479917130219,0.681635394436329,1,"T3_PB_to_PC"
"KLF15",1.01950124752996,-0.0402158489999617,-0.979285398529999,1,"T1_MBC_to_prePB"
"HINFP",0.968853361523134,0.0596251300974656,-1.0284784916206,1,"T1_MBC_to_prePB"
"FEV",0.867450819483268,0.226310049028087,-1.09376086851135,1,"T1_MBC_to_prePB"
"EGR1",1.14413883602947,-0.707012898468062,-0.437125937561397,1,"T1_MBC_to_prePB"
"KLF14",0.350868340163737,0.777282238878875,-1.12815057904262,1,"T2_prePB_to_PB"
"ETV5",0.880176137041509,0.207188901436476,-1.08736503847799,1,"T1_MBC_to_prePB"
"ELK4",0.716414174228,0.426052467003072,-1.14246664123107,1,"T1_MBC_to_prePB"
"ELF2",0.783082769234071,0.343364073517904,-1.12644684275197,1,"T1_MBC_to_prePB"
"ETS1",0.663900661722624,0.486234815375893,-1.15013547709852,1,"T1_MBC_to_prePB"
"TFDP1",1.05414699925975,-0.118930659482283,-0.93521633977747,1,"T1_MBC_to_prePB"
"Gmeb1",0.932012190197149,0.124345459479659,-1.05635764967681,1,"T1_MBC_to_prePB"
"FOSL1::JUND(var.2)",1.08514126288828,-0.200735393817982,-0.884405869070293,1,"T1_MBC_to_prePB"
