"from","to","transition"
"JUN::JUNB","CCL17","T1"
"JUN::JUNB","TRAF1","T1"
"JUN::JUNB","DEK","T1"
"JUN::JUNB","CCR7","T1"
"JUN::JUNB","LTA","T1"
"JUN::JUNB","MIR155HG","T1"
"JUN::JUNB","CCL22","T1"
"JUN::JUNB","PEA15","T1"
"FOSL2::JUND(var.2)","CCL17","T1"
"FOSL2::JUND(var.2)","TRAF1","T1"
"FOSL2::JUND(var.2)","DEK","T1"
"FOSL2::JUND(var.2)","CCR7","T1"
"FOSL2::JUND(var.2)","LTA","T1"
"FOSL2::JUND(var.2)","MIR155HG","T1"
"FOSL2::JUND(var.2)","CCL22","T1"
"FOSL2::JUND(var.2)","PEA15","T1"
"FOSL2::JUN(var.2)","CCL17","T1"
"FOSL2::JUN(var.2)","TRAF1","T1"
"FOSL2::JUN(var.2)","DEK","T1"
"FOSL2::JUN(var.2)","CCR7","T1"
"FOSL2::JUN(var.2)","LTA","T1"
"FOSL2::JUN(var.2)","MIR155HG","T1"
"FOSL2::JUN(var.2)","CCL22","T1"
"FOSL2::JUN(var.2)","PEA15","T1"
"FOSB::JUN","CCL17","T1"
"FOSB::JUN","TRAF1","T1"
"FOSB::JUN","DEK","T1"
"FOSB::JUN","CCR7","T1"
"FOSB::JUN","LTA","T1"
"FOSB::JUN","MIR155HG","T1"
"FOSB::JUN","CCL22","T1"
"FOSB::JUN","PEA15","T1"
"ATF7","CCL17","T1"
"ATF7","TRAF1","T1"
"ATF7","DEK","T1"
"ATF7","CCR7","T1"
"ATF7","LTA","T1"
"ATF7","MIR155HG","T1"
"ATF7","CCL22","T1"
"ATF7","PEA15","T1"
"EGR1","CCL17","T1"
"EGR1","TRAF1","T1"
"EGR1","DEK","T1"
"EGR1","CCR7","T1"
"EGR1","LTA","T1"
"EGR1","MIR155HG","T1"
"EGR1","CCL22","T1"
"EGR1","PEA15","T1"
"CREM","CCL17","T1"
"CREM","TRAF1","T1"
"CREM","DEK","T1"
"CREM","CCR7","T1"
"CREM","LTA","T1"
"CREM","MIR155HG","T1"
"CREM","CCL22","T1"
"CREM","PEA15","T1"
"CTCF","CCL17","T1"
"CTCF","TRAF1","T1"
"CTCF","DEK","T1"
"CTCF","CCR7","T1"
