"tf","gene","module","Gain"
"BACH2","EMILIN2","brown",0.268919168856147
"BACH2","TTN","brown",0.169515806102619
"BACH2","DOPEY2","brown",0.12377051266808
"BACH2","MARCH1","brown",0.0371603275292186
"BACH2","HES1","brown",0.0205811450187502
"BACH2","C1orf162","brown",0.01708933507002
"BATF","GPX1","turquoise",0.286379935329435
"BATF","ATF5","turquoise",0.203507074481947
"BATF","GPATCH4","turquoise",0.202866462548339
"BATF","PSAT1","turquoise",0.196809924366382
"BATF","HILPDA","turquoise",0.189612990442274
"BATF","ENO1","turquoise",0.141824047858949
"BATF","CCT6A","turquoise",0.137420145862451
"BATF","SNX10","turquoise",0.132412850672075
"BATF","ALDOA","turquoise",0.12332950496617
"BATF","HN1","turquoise",0.120431975134696
"BATF","SELL","turquoise",0.120267259527314
"BATF","ETV5","turquoise",0.1186576449473
"BATF","HSPH1","turquoise",0.110635315464332
"BATF","TPM4","turquoise",0.108513597043387
"BATF","MSMO1","turquoise",0.107577468375919
"BATF","CCT5","turquoise",0.100606245433198
"BATF","TEAD4","turquoise",0.0980145538012505
"BATF","S100A11","turquoise",0.0910442044587652
"BATF","DKC1","turquoise",0.089943727861474
"BATF","RAB7L1","turquoise",0.0871092450569404
"BATF","GBP1","turquoise",0.0840214783679369
"BATF","ARL6IP5","turquoise",0.0829499514898109
"BATF","PFN1","turquoise",0.0807084387519487
"BATF","TXN","turquoise",0.0791951699804182
"BATF","PRMT1","turquoise",0.0737653702159824
"BATF","PTMS","turquoise",0.0726278439514813
"BATF","VIM","turquoise",0.070914995264094
"BATF","CCDC152","turquoise",0.0683673836097109
"BATF","IVNS1ABP","turquoise",0.067626533323217
"BATF","CCDC34","turquoise",0.0674243036230202
"BATF","HSPD1","turquoise",0.0647720472059626
"BATF","NOLC1","turquoise",0.0634412512402428
"BATF","ZYX","turquoise",0.0632383895430643
"BATF","ANKRD13B","turquoise",0.0580678410385088
"BATF","UBE2C","turquoise",0.0553866174982497
"BATF","MCM4","turquoise",0.0539032220049518
"BATF","EMP1","turquoise",0.0495748108677602
"BATF","TMSB4X","turquoise",0.0477382586665727
"BATF","CALM2","turquoise",0.0473527818603069
"BATF","HHLA2","turquoise",0.0459362867932358
"BATF","CCND3","turquoise",0.0439550177857613
"BATF","HMGCS1","turquoise",0.0407014135370275
"BATF","HLA-DQA1","turquoise",0.0392404256140511
"BATF","NME1","turquoise",0.0385725790720354
"BATF","CKS1B","turquoise",0.0382890277176618
"BATF","STK39","turquoise",0.032979997545373
"BATF","CLSPN","turquoise",0.0303616886633939
"BATF","SERPINB9","turquoise",0.0289808344995158
"BATF","GAPDH","turquoise",0.025632747545101
"BATF","PCNA","turquoise",0.0247684156654839
"BATF","CBX3","turquoise",0.0229902050959742
"BATF","LDHA","turquoise",0.0227054690939074
"BATF","NPM1","turquoise",0.0223630795359229
"BATF","ITGA2","turquoise",0.0220298623787609
"BATF","WDR76","turquoise",0.0210345793807012
"BATF","HMGA1","turquoise",0.0200985697260672
"BATF","LGALS3","turquoise",0.0196368156902957
"BATF","HCK","turquoise",0.0190301786763625
"BATF","NUF2","turquoise",0.018755581700945
"BATF","CCR1","turquoise",0.0158937222547922
"BATF","TOP2A","turquoise",0.0132263243393109
"BATF","KLHL21","turquoise",0.0131094042434552
"BATF","RRM2B","turquoise",0.0119136587025292
"BATF","EBI3","turquoise",0.0114817863394882
"BATF","NQO1","turquoise",0.0104474579175
"BATF3","RHOC","yellow",0.791243254282984
"BATF3","DGKG","yellow",0.657812311135177
"BATF3","B4GALT5","yellow",0.63877411774548
"BATF3","PFKFB3","yellow",0.599694668212975
"BATF3","RAB13","yellow",0.527745951625604
"BATF3","PKIG","yellow",0.517722141136539
"BATF3","AICDA","yellow",0.509283934294946
"BATF3","TTC39C","yellow",0.483134144187297
"BATF3","BHLHE40","yellow",0.438733420960313
"BATF3","BIRC3","yellow",0.288268241473729
"BATF3","EGR2","yellow",0.260483109011807
"BATF3","CD22","yellow",0.192899983204424
"BATF3","FSCN1","yellow",0.166757465192257
"BATF3","PRKCDBP","yellow",0.109816786038573
"BATF3","CCR7","yellow",0.108362921049372
"BATF3","TNFSF4","yellow",0.050862236646858
"BHLHE40","PRKCDBP","yellow",0.694041409653374
"BHLHE40","BATF3","yellow",0.519618301088519
"BHLHE40","CCR7","yellow",0.39539262394809
"BHLHE40","AHR","yellow",0.0873561825826419
"E2F7","PRR11","turquoise",0.530162852155321
"E2F7","COCH","turquoise",0.47542361007853
"E2F7","HELLS","turquoise",0.46780596121225
"E2F7","CDC25A","turquoise",0.419664188516659
"E2F7","MCM6","turquoise",0.389514561406119
"E2F7","SNRPG","turquoise",0.389309168987027
"E2F7","EZH2","turquoise",0.387078155444851
"E2F7","SPDL1","turquoise",0.384266781620773
"E2F7","LGALS1","turquoise",0.37018117472402
"E2F7","ZWILCH","turquoise",0.365736463158072
"E2F7","PKM","turquoise",0.359362173980251
"E2F7","MCM3","turquoise",0.35717706909765
"E2F7","WDR76","turquoise",0.344320338519509
"E2F7","AURKB","turquoise",0.332752732847648
"E2F7","KIFC1","turquoise",0.310749754727799
"E2F7","VIM","turquoise",0.304608363323262
"E2F7","CDCA4","turquoise",0.293336252010193
"E2F7","ARL13B","turquoise",0.29027824170838
"E2F7","KIF23","turquoise",0.264419610637483
"E2F7","LCP1","turquoise",0.245876829344193
"E2F7","HMGN2","turquoise",0.235672289082887
"E2F7","MYB","turquoise",0.22381031963841
"E2F7","RPL22L1","turquoise",0.222607088369089
"E2F7","CCL3","turquoise",0.21342742224724
"E2F7","EIF1AX","turquoise",0.211839331656732
"E2F7","CCND2","turquoise",0.20740969646477
"E2F7","NREP","turquoise",0.197540533724525
"E2F7","LDHA","turquoise",0.188227841360408
"E2F7","GGCT","turquoise",0.172425108383011
"E2F7","CENPA","turquoise",0.163841354074137
"E2F7","FDXR","turquoise",0.156382862284812
"E2F7","INSIG1","turquoise",0.148049933577416
"E2F7","FAM111B","turquoise",0.143309314229321
"E2F7","RFC3","turquoise",0.142479973445548
"E2F7","NAMPT","turquoise",0.135596553360878
"E2F7","ID2","turquoise",0.135544618595551
"E2F7","SGOL2","turquoise",0.133139694508771
"E2F7","CCT6A","turquoise",0.109754743679661
"E2F7","IVNS1ABP","turquoise",0.109638179225568
"E2F7","DPP4","turquoise",0.10948249460084
"E2F7","LIMA1","turquoise",0.101153074939319
"E2F7","MT2A","turquoise",0.0909834870460213
"E2F7","IL2RB","turquoise",0.0855766457735971
"E2F7","SLC43A3","turquoise",0.0767933025399988
"E2F7","PTMS","turquoise",0.0755194260758204
"E2F7","STK39","turquoise",0.0744464612239357
"E2F7","HIST1H2BJ","turquoise",0.0613421034267869
"E2F7","SLC7A5","turquoise",0.0591754502266565
"E2F7","XRCC5","turquoise",0.02713003766046
"E2F7","HSPE1","turquoise",0.0195982561989256
"E2F7","HOPX","turquoise",0.0181778874782192
"E2F7","CLECL1","turquoise",0.0126088357371323
"E2F7","CD226","turquoise",0.0119969504631785
"EBF1","UNC119","brown",0.0927891474943362
"EBF1","B3GNT7","brown",0.0732573276160971
"EBF1","FAM167A","brown",0.0712290077999783
"EBF1","CRIP2","brown",0.0600493062348262
"EBF1","FOS","brown",0.0461820331616523
"EBF1","GNAZ","brown",0.045958480301526
"EBF1","FGR","brown",0.0434600438966683
"EBF1","JUP","brown",0.0333657304457627
"EBF1","LYST","brown",0.031564010758528
"EBF1","ALPL","brown",0.0205796026473722
"EBF1","HLA-DMB","brown",0.0189669215609928
"EBF1","FCER2","brown",0.0142674648465933
"EBF1","DUSP2","brown",0.0129395719906736
"EGR2","FSCN1","yellow",0.455034735610502
"EGR2","TNF","yellow",0.311577160552971
"EGR2","SPIB","yellow",0.213598268614854
"EGR2","BATF3","yellow",0.115816401372229
"EGR2","TSPAN33","yellow",0.0657670099501009
"EGR2","DEK","yellow",0.032360983654016
"EGR2","DGKG","yellow",0.0130033915521745
"ESR1","C10orf10","blue",0.0203959220955716
"ESR1","SCNN1B","blue",0.0193196610222511
"ESR2","GNB3","blue",0.0725108674617143
"ESR2","COL7A1","blue",0.0556001395361772
"ESR2","LAG3","blue",0.048760238651657
"ESR2","H1F0","blue",0.0221172123390377
"ESR2","IGLL5","blue",0.0120664249649543
"ESR2","HGF","blue",0.0103802483557772
"ETS1","DNAJA1","turquoise",0.276419736254553
"ETS1","IL2RB","turquoise",0.245719283912711
"ETS1","PPID","turquoise",0.224208256092552
"ETS1","STK38L","turquoise",0.204220353240335
"ETS1","CAP1","turquoise",0.153321204413429
"ETS1","KIF5C","turquoise",0.143714624580958
"ETS1","CFL1","turquoise",0.139055460363834
"ETS1","KLHL23","turquoise",0.137844980190182
"ETS1","TPM4","turquoise",0.134814623272182
"ETS1","MID1IP1","turquoise",0.124160118546371
"ETS1","GLO1","turquoise",0.116036258316293
"ETS1","SSBP1","turquoise",0.110313145198019
"ETS1","CCT7","turquoise",0.107456162149419
"ETS1","ODC1","turquoise",0.10735646523776
"ETS1","SSRP1","turquoise",0.106207710290135
"ETS1","SNRPE","turquoise",0.0915531026898711
"ETS1","CCND3","turquoise",0.0882434892278655
"ETS1","DPYSL2","turquoise",0.0816949141826811
"ETS1","NCL","turquoise",0.0768411843606716
"ETS1","NPM3","turquoise",0.0694011670898188
"ETS1","TUBB3","turquoise",0.0686463221681589
"ETS1","SNRPG","turquoise",0.0645507641998897
"ETS1","PRDX3","turquoise",0.0605360021415415
"ETS1","SEPW1","turquoise",0.057704232593292
"ETS1","CCT5","turquoise",0.0576095636358885
"ETS1","PPIA","turquoise",0.0542064401239895
"ETS1","PAPD5","turquoise",0.0488457805111875
"ETS1","PRR19","turquoise",0.0487807273598699
"ETS1","GPX1","turquoise",0.0428102164280013
"ETS1","TMEM173","turquoise",0.0415229215184556
"ETS1","WDR65","turquoise",0.0341165579802147
"ETS1","G0S2","turquoise",0.0270249452893704
"ETS1","HMGCS1","turquoise",0.025799709064532
"ETS1","TUBB4B","turquoise",0.0228870273001693
"ETS1","DDX21","turquoise",0.0208437804806305
"ETS1","LAPTM4B","turquoise",0.0132936639190915
"ETV5","ACTR3","turquoise",0.398445720711586
"ETV5","SNRPE","turquoise",0.378982045248817
"ETV5","PPID","turquoise",0.344900440265086
"ETV5","DUSP4","turquoise",0.34274939722582
"ETV5","CHORDC1","turquoise",0.337117041348416
"ETV5","NCL","turquoise",0.33685367980316
"ETV5","IL2RB","turquoise",0.329795195140201
"ETV5","PRDX3","turquoise",0.323895372280044
"ETV5","MT2A","turquoise",0.290178478913114
"ETV5","STK38L","turquoise",0.28400605902183
"ETV5","MRPL37","turquoise",0.278343111622673
"ETV5","DUT","turquoise",0.273116466864423
"ETV5","CCNB2","turquoise",0.253480471252978
"ETV5","HSPA8","turquoise",0.205339446303693
"ETV5","CAP1","turquoise",0.204006459437257
"ETV5","RPL22L1","turquoise",0.199406116047838
