"module","tf","n_intramodule_targets","mean_gain"
"blue","IRF4",7,0.0426446365571012
"blue","ESR2",6,0.0369058552182196
"blue","IRF9",4,0.0436563208374425
"blue","ESR1",2,0.0198577915589114
"brown","KLF6",50,0.312469110547299
"brown","KLF2",37,0.157037603547319
"brown","REL",23,0.167422867310852
"brown","RUNX3",18,0.106871534106321
"brown","EBF1",13,0.0434314345196159
"brown","JUNB",11,0.0807297544742966
"brown","TCF7",9,0.105714069180034
"brown","FOS",7,0.0652060421763339
"brown","HES1",7,0.079670541510604
"brown","NR4A1",7,0.0434378481559009
"brown","TFEC",7,0.120889055388221
"brown","BACH2",6,0.106172715874139
"brown","NR4A2",6,0.0783527820423256
"brown","POU3F1",5,0.0734606964648022
"turquoise","SOX4",85,0.0995973983327419
"turquoise","BATF",65,0.0718796306407768
"turquoise","TEAD4",59,0.0524127413520181
"turquoise","MYB",58,0.351770008138672
"turquoise","ETV5",54,0.157285997249703
"turquoise","MSC",54,0.0847641187896531
"turquoise","E2F7",53,0.214277463298106
"turquoise","SOX2",50,0.0806188186625795
"turquoise","PPARG",38,0.0969515625367772
"turquoise","ETS1",36,0.0952155803978868
"turquoise","ZBTB32",32,0.072589547229219
"turquoise","FOSL1",29,0.0734636761845237
"turquoise","ONECUT2",26,0.0780821160022276
"yellow","SPIB",29,0.398120431658354
"yellow","BATF3",16,0.396349667887396
"yellow","EGR2",7,0.172451135900978
"yellow","PAX5",5,0.09549126739898
"yellow","BHLHE40",4,0.424102129318156
