"motif_name","motif_ID","n_targets"
"Arnt","MA0004.1",4263
"Ahr::Arnt","MA0006.1",5682
"Ddit3::Cebpa","MA0019.1",3420
"Mecom","MA0029.1",4060
"FOXF2","MA0030.1",3445
"FOXD1","MA0031.1",2594
"Foxq1","MA0040.1",4397
"Foxd3","MA0041.1",8906
"IRF2","MA0051.1",4445
"MZF1(var.2)","MA0057.1",4875
"MAX::MYC","MA0059.1",1738
"PPARG","MA0066.1",2559
"Pax2","MA0067.1",711
"PAX6","MA0069.1",1492
"PBX1","MA0070.1",2277
"RORA","MA0071.1",2713
"RORA(var.2)","MA0072.1",2593
"RREB1","MA0073.1",8820
"RXRA::VDR","MA0074.1",1981
"SOX9","MA0077.1",2228
"Sox17","MA0078.1",2228
"SRY","MA0084.1",3646
"Sox5","MA0087.1",4651
"TAL1::TCF3","MA0091.1",2345
"Hand1::Tcf3","MA0092.1",2873
"REL","MA0101.1",3026
"RELA","MA0107.1",3353
"TBP","MA0108.2",2278
"HLTF","MA0109.1",2247
"Spz1","MA0111.1",3773
"NR1H2::RXRA","MA0115.1",3055
"Znf423","MA0116.1",3241
"NFIC::TLX1","MA0119.1",4075
"Nobox","MA0125.1",1849
"ZNF354C","MA0130.1",8676
"Lhx3","MA0135.1",5049
"CTCF","MA0139.1",5060
"Pou5f1::Sox2","MA0142.1",5033
"EWSR1-FLI1","MA0149.1",9662
"REST","MA0138.2",4508
"RUNX1","MA0002.2",4212
"Pparg::Rxra","MA0065.2",6081
"Arid3a","MA0151.1",10514
"NFATC2","MA0152.1",6393
"INSM1","MA0155.1",5104
"RARA::RXRA","MA0159.1",3804
"NR4A2","MA0160.1",3258
"PLAG1","MA0163.1",7211
"Nr2e3","MA0164.1",2427
"ARNT::HIF1A","MA0259.1",1069
"Zfx","MA0146.2",9438
"Crx","MA0467.1",2995
"DUX4","MA0468.1",3207
"FOS","MA0476.1",2626
"FOSL2","MA0478.1",2354
"FOXH1","MA0479.1",3006
"Foxo1","MA0480.1",4636
"Gfi1b","MA0483.1",6371
"JUN","MA0488.1",3282
"JUN(var.2)","MA0489.1",2824
"JUND(var.2)","MA0492.1",3168
"Klf1","MA0493.1",7221
"Nr1h3::Rxra","MA0494.1",5467
"MEF2C","MA0497.1",9863
"MAF::NFE2","MA0501.1",3179
"Nkx2-5(var.2)","MA0503.1",3704
"NR2C2","MA0504.1",5958
"Nr5a2","MA0505.1",4613
"NRF1","MA0506.1",5212
"POU2F2","MA0507.1",5261
"SMAD2::SMAD3::SMAD4","MA0513.1",5711
"Sox3","MA0514.1",6410
"Sox6","MA0515.1",4651
"STAT1::STAT2","MA0517.1",8600
"Stat4","MA0518.1",4916
"Stat5a::Stat5b","MA0519.1",4417
"Stat6","MA0520.1",4043
"Tcf12","MA0521.1",5165
"TCF7L2","MA0523.1",3922
"ZBTB33","MA0527.1",1906
"ELK4","MA0076.2",4126
"ESR2","MA0258.2",3627
"IRF1","MA0050.2",11630
"Nfe2l2","MA0150.2",3196
"STAT1","MA0137.3",4271
"STAT3","MA0144.2",5343
"GATA1::TAL1","MA0140.2",2462
"YY1","MA0095.2",5355
"Bach1::Mafk","MA0591.1",2900
"FOXP2","MA0593.1",4740
"SREBF1","MA0595.1",3760
"SREBF2","MA0596.1",3698
"THAP1","MA0597.1",3397
"KLF5","MA0599.1",10650
"Arid3b","MA0601.1",4946
"Arid5a","MA0602.1",3805
"Arntl","MA0603.1",1815
"Atf1","MA0604.1",658
"NFAT5","MA0606.1",5057
"Bhlha15","MA0607.1",1473
"Creb3l2","MA0608.1",1471
"DMRT3","MA0610.1",2361
"Dux","MA0611.1",1173
"FOXG1","MA0613.1",4397
"Foxj2","MA0614.1",3068
"Gmeb1","MA0615.1",449
"LBX1","MA0618.1",2273
"LIN54","MA0619.1",5240
"mix-a","MA0621.1",3150
"Mlxip","MA0622.1",1367
"NFATC1","MA0624.1",4454
"NFATC3","MA0625.1",4431
"Npas2","MA0626.1",1781
"POU6F1","MA0628.1",1619
"Rhox11","MA0629.1",1948
"SHOX","MA0630.1",2007
"Six3","MA0631.1",2508
"Twist2","MA0633.1",1853
"ALX3","MA0634.1",2556
"Ar","MA0007.3",1487
"BARHL2","MA0635.1",1203
"BHLHE41","MA0636.1",1314
"CENPB","MA0637.1",1043
"CREB3","MA0638.1",1250
"DBP","MA0639.1",1030
"ELF4","MA0641.1",3285
"ELF5","MA0136.2",3774
"EN1","MA0027.2",1170
"EN2","MA0642.1",1194
"Esrrg","MA0643.1",3343
"ESX1","MA0644.1",1831
"ETV6","MA0645.1",3799
"FLI1","MA0475.2",2406
"FOXI1","MA0042.2",3213
"FOXL1","MA0033.2",3213
"FOXO3","MA0157.2",2594
"GCM1","MA0646.1",1326
"GRHL1","MA0647.1",1563
"GSC","MA0648.1",1578
"HEY2","MA0649.1",1848
"HINFP","MA0131.2",2428
"HNF1A","MA0046.2",4703
"HNF1B","MA0153.2",3031
"HOXC11","MA0651.1",1220
"HSF1","MA0486.2",2716
"IRF8","MA0652.1",2891
"IRF9","MA0653.1",4401
"ISX","MA0654.1",1728
"JDP2","MA0655.1",2081
"JDP2(var.2)","MA0656.1",1651
"KLF13","MA0657.1",2873
"LHX6","MA0658.1",1554
"MEF2B","MA0660.1",7541
"MEOX1","MA0661.1",1859
"MIXL1","MA0662.1",2247
"MLX","MA0663.1",1296
"MLXIPL","MA0664.1",1163
"MSC","MA0665.1",2882
"MSX1","MA0666.1",1643
"MYF6","MA0667.1",2360
"NEUROD2","MA0668.1",865
"NEUROG2","MA0669.1",1338
"NFIA","MA0670.1",2528
"NFIX","MA0671.1",2168
"NHLH1","MA0048.2",3681
"NKX2-3","MA0672.1",2408
"NKX2-8","MA0673.1",2613
"NKX6-1","MA0674.1",2242
"NKX6-2","MA0675.1",2293
"Nr2e1","MA0676.1",3884
"Nr2f6","MA0677.1",3598
"OLIG2","MA0678.1",1195
"PAX4","MA0068.2",1220
"PAX7","MA0680.1",1539
"POU4F2","MA0683.1",4924
"Rxra","MA0512.2",3315
"SP4","MA0685.1",8149
"SPDEF","MA0686.1",1662
"SPIC","MA0687.1",5522
"SRF","MA0083.3",1402
"TBXT","MA0009.2",1165
"TBX2","MA0688.1",3153
"TBX20","MA0689.1",3247
"TBX21","MA0690.1",3078
"TFAP4","MA0691.1",2361
"TFCP2","MA0145.3",1038
"TFEB","MA0692.1",1772
"ZBTB7B","MA0694.1",2118
"ZBTB7C","MA0695.1",2638
"ZIC1","MA0696.1",3856
"ZIC3","MA0697.1",3900
"ZBTB18","MA0698.1",4317
"LBX2","MA0699.1",1752
"Lhx4","MA0704.1",1659
"Lhx8","MA0705.1",1527
"MEOX2","MA0706.1",2708
"MNX1","MA0707.1",3575
"MSX2","MA0708.1",1643
"Msx3","MA0709.1",1787
"NOTO","MA0710.1",1500
"Nkx3-1","MA0124.2",2388
"OTX1","MA0711.1",451
"PDX1","MA0132.2",1504
"PHOX2A","MA0713.1",3524
"PITX3","MA0714.1",2431
"PROP1","MA0715.1",4267
"PRRX1","MA0716.1",1728
"RAX2","MA0717.1",2007
"RAX","MA0718.1",1985
"RHOXF1","MA0719.1",2656
"Shox2","MA0720.1",2007
"UNCX","MA0721.1",2254
"VAX1","MA0722.1",2042
"VAX2","MA0723.1",2042
"VENTX","MA0724.1",1063
"VSX1","MA0725.1",1471
"VSX2","MA0726.1",1471
"ESR1","MA0112.3",4593
"ESRRB","MA0141.3",3021
"NR2F1","MA0017.2",7261
"NR3C1","MA0113.3",1304
"NR3C2","MA0727.1",1281
"Nr2f6(var.2)","MA0728.1",7685
"RARA","MA0729.1",5915
"RARA(var.2)","MA0730.1",3012
"BCL6B","MA0731.1",2999
"EGR2","MA0472.2",3412
"EGR3","MA0732.1",5572
"EGR4","MA0733.1",4687
"GLIS1","MA0735.1",1681
"GLIS2","MA0736.1",2952
"GLIS3","MA0737.1",2342
"HIC2","MA0738.1",4585
"Hic1","MA0739.1",2071
"KLF14","MA0740.1",7326
"KLF16","MA0741.1",9136
"Klf12","MA0742.1",6329
"SP8","MA0747.1",8774
"ZBED1","MA0749.1",300
"ZIC4","MA0751.1",3874
"ZNF143","MA0088.2",3366
"ZNF410","MA0752.1",2195
"CUX1","MA0754.1",1051
"CUX2","MA0755.1",1215
"ONECUT2","MA0756.1",3138
"ONECUT3","MA0757.1",4830
"E2F7","MA0758.1",2151
"ELK3","MA0759.1",2500
"ERF","MA0760.1",2573
"ERG","MA0474.2",2346
"ETS1","MA0098.3",2648
"ETV2","MA0762.1",2484
"ETV3","MA0763.1",2453
"FEV","MA0156.2",2343
"GCM2","MA0767.1",1065
"LEF1","MA0768.1",4225
"HSF2","MA0770.1",2915
"HSF4","MA0771.1",2508
"IRF7","MA0772.1",5796
"MEF2D","MA0773.1",8343
"MEIS1","MA0498.2",2812
"MEIS2","MA0774.1",2245
"MEIS3","MA0775.1",2406
"MYBL1","MA0776.1",566
"MYBL2","MA0777.1",575
"NFKB1","MA0105.4",4745
"NFKB2","MA0778.1",4085
"PAX1","MA0779.1",1075
"PAX3","MA0780.1",1576
"PAX9","MA0781.1",1350
"PKNOX2","MA0783.1",2784
"POU1F1","MA0784.1",5141
"POU2F1","MA0785.1",4308
"POU3F1","MA0786.1",4980
"POU3F2","MA0787.1",4635
"POU3F3","MA0788.1",5234
"POU3F4","MA0789.1",3442
"POU4F1","MA0790.1",5649
"POU4F3","MA0791.1",5402
"POU5F1B","MA0792.1",3579
"POU6F2","MA0793.1",2414
"PROX1","MA0794.1",1689
"RFX2","MA0600.2",1598
"SMAD3","MA0795.1",899
"TGIF1","MA0796.1",2254
"TGIF2","MA0797.1",2198
"RFX4","MA0799.1",2172
"RFX5","MA0510.2",1736
"RUNX2","MA0511.2",2020
"EOMES","MA0800.1",2947
"MGA","MA0801.1",4170
"TBR1","MA0802.1",2751
"TBX15","MA0803.1",4170
"TBX19","MA0804.1",1314
"TBX1","MA0805.1",4460
"TBX4","MA0806.1",3977
"TBX5","MA0807.1",4825
"TEAD3","MA0808.1",3339
"TFAP2A(var.2)","MA0810.1",4454
"TFAP2B","MA0811.1",3554
"TFAP2B(var.2)","MA0812.1",3943
"TFAP2B(var.3)","MA0813.1",3744
"TFAP2C","MA0524.2",3570
"TFAP2C(var.3)","MA0815.1",3457
"Ascl2","MA0816.1",4013
"Atoh1","MA0461.2",1166
"BHLHE40","MA0464.2",1309
"BHLHE23","MA0817.1",1189
"BHLHE22","MA0818.1",952
"CLOCK","MA0819.1",916
"FIGLA","MA0820.1",4770
"HES5","MA0821.1",2543
"HES7","MA0822.1",2572
"HEY1","MA0823.1",1947
"MAX","MA0058.3",1606
"MNT","MA0825.1",1677
"OLIG1","MA0826.1",1036
"OLIG3","MA0827.1",1378
"SREBF2(var.2)","MA0828.1",1350
"Tcf21","MA0832.1",2351
"ATF7","MA0834.1",1359
