"tf","gene","Gain","Cover","Frequency","Cor"
"ARNT2","FOXA3",0.137931718773356,0.0886145528940743,0.0886145528940743,0.0663533735286818
"ARNT2","HOXA9",0.126332621499732,0.0786731293220118,0.0786731293220118,0.29096576951664
"ARNT2","HOXA7",0.0922297067126033,0.0522727272727273,0.0522727272727273,0.223730453472804
"ARNT2","YY2",0.0342453675387589,0.0248080159899011,0.0248080159899011,0.0814341876961245
"ASCL1","A4GALT",0.406160882498308,0.134,0.134,0.575519683195008
"ASCL1","EMX1",0.376170811121469,0.192954204326984,0.192954204326984,0.405527991779302
"ASCL1","SOX18",0.332566003175193,0.140697041110238,0.140697041110238,0.342597987041161
"ASCL1","TNFSF4",0.313658382925942,0.134,0.134,0.60449135411441
"ASCL1","GLIS2",0.267349178665732,0.169994155348846,0.169994155348846,0.178513101158948
"ASCL1","INA",0.175637864128856,0.0960189188810993,0.0960189188810993,0.213454544475349
"ASCL1","HOXC10",0.15076990730753,0.0684684684684685,0.0684684684684685,0.0716913210790943
"ASCL1","FSCN1",0.141051784238539,0.088,0.088,0.574046238177256
"ASCL1","CCL17",0.135202004362491,0.082,0.082,0.527733289969222
"ASCL1","ONECUT3",0.133476486908625,0.0535004095004095,0.0535004095004095,0.110376982076376
"ASCL1","TLX2",0.11240204644775,0.0843400232242192,0.0843400232242192,0.197195382717613
"ASCL1","LHX2",0.102700428863984,0.0377043840792131,0.0377043840792131,0.131907536017094
"ASCL1","PHLDA3",0.0854401637666921,0.04,0.04,0.272034253106356
"ASCL1","TBX2",0.0825351849006625,0.0850871273766522,0.0850871273766522,0.0581752725071923
"ASCL1","NPAS2",0.0707649010746026,0.0554630785297639,0.0554630785297639,0.391838609312938
"ASCL1","CYB5R2",0.0688906724134826,0.032,0.032,0.355178190250402
"ASCL1","CDCA7",0.0606945799498447,0.064,0.064,0.289838001261893
"ASCL1","CCDC28B",0.0601819067848159,0.066,0.066,0.487084034383735
"ASCL1","HSPB1",0.0572338495605462,0.048,0.048,0.330635044857114
"ASCL1","CLECL1",0.0556441793212885,0.048,0.048,0.20571561067146
"ASCL1","HLF",0.0555755043627569,0.0516734473944572,0.0516734473944572,0.27767384771601
"ASCL1","STK38L",0.0523119638161965,0.034,0.034,0.296741202030218
"ASCL1","HOXA1",0.0464089910225895,0.0309270696230299,0.0309270696230299,0.200644549956891
"ASCL1","NHLH2",0.0432792082406419,0.078474025974026,0.078474025974026,0.0595802166969511
