"tf","gene","Gain","Cover","Frequency","Cor"
"IRF5","AHR",0.563708778541885,0.174,0.174,0.554892127616819
"KLF6","AHR",0.115041653573385,0.076,0.076,0.348827023300582
"TFEC","AHR",0.0880139054249772,0.048,0.048,0.328979994813694
"BHLHE40","AHR",0.0873561825826419,0.098,0.098,0.535791861146136
"PRDM1","AHR",0.0313141546845306,0.06,0.06,-0.461292398336466
"STAT3","AHR",0.0194237901055928,0.106,0.106,0.252295728488816
"SPIB","AHR",0.0118848021060222,0.01,0.01,0.550818063952671
"STAT1","AHR",0.00977188887949246,0.038,0.038,-0.196122690901675
"NFE2L1","AHR",0.00781080556696269,0.036,0.036,0.113199720834064
"FOXC1","AHR",0.00721287632406198,0.034,0.034,0.159507645037797
"KLF2","AHR",0.00484594346596687,0.036,0.036,0.0437518893052201
"MEF2C","AHR",0.00458498007440069,0.032,0.032,0.0490179773438819
"IRF7","AHR",0.00429624358586251,0.008,0.008,-0.307321105703354
"YY1","AHR",0.00410007771734109,0.02,0.02,0.324254401495933
"NFATC2","AHR",0.00375616890951204,0.02,0.02,0.290483863496848
"BHLHE41","AHR",0.00361477060611951,0.008,0.008,-0.404746645943723
"POU2F2","AHR",0.00345100396542558,0.026,0.026,-0.0280898304591442
"ZBTB14","AHR",0.00319974433734545,0.016,0.016,0.134159336904953
"RORA","AHR",0.00292470686392461,0.02,0.02,0.186855541558045
"IRF1","AHR",0.00252149243234566,0.014,0.014,-0.114433496507646
"ZKSCAN1","AHR",0.00248931667717568,0.008,0.008,-0.229153895209483
"TWIST1","AHR",0.0024274288437682,0.006,0.006,0.249568712761735
"ETS1","AHR",0.00234396697469329,0.01,0.01,0.257355567845827
"RREB1","AHR",0.00225703708253518,0.016,0.016,-0.0957602270171447
"RARA","AHR",0.00212845157490712,0.014,0.014,0.113795318186723
"IRF8","AHR",0.00189194314811531,0.014,0.014,0.287913620151405
"POU3F1","AHR",0.00182499313809332,0.008,0.008,0.129840288073945
"ONECUT2","AHR",0.00109461956498279,0.006,0.006,0.196056193745247
"HLF","AHR",0.000674110744213061,0.002,0.002,0.378660775895465
"SOX4","AHR",0.000570000351467786,0.004,0.004,0.241084158743815
"MEF2D","AHR",0.000501499991449754,0.004,0.004,-0.16240109201127
"NFATC1","AHR",0.000451304470560257,0.004,0.004,0.0934525803408902
"MAFF","AHR",0.000407672258733637,0.004,0.004,-0.00384417538528687
"PPARD","AHR",0.000393800543980702,0.004,0.004,0.0276164113529185
"NR4A1","AHR",0.000381488819328556,0.004,0.004,0.117363834705951
"KLF9","AHR",0.000281976566801876,0.002,0.002,0.162935449300492
"MAFG","AHR",0.000244062822028947,0.002,0.002,0.0887976729643543
"TCF7L1","AHR",0.000214853813019776,0.002,0.002,0.0366573108505407
