"transition","gene_name","module","peak_id","tier","distance_bp","peak_log2FC","gene_biotype"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42287755-42288027","promoter",344.5,2.67736776464996,"protein_coding"
"T1_MBC_to_prePB","PAX5","yellow","chr9-37037593-37037982","proximal",3603,4.09397244781213,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31566377-31566652","proximal",5539,3.25608908993448,"protein_coding"
"T1_MBC_to_prePB","BIRC3","yellow","chr11-102323308-102323826","proximal",6117.5,5.80331964136705,"protein_coding"
"T1_MBC_to_prePB","PAX5","yellow","chr9-37027589-37027860","proximal",6460,5.30454427020998,"protein_coding"
"T1_MBC_to_prePB","CCL17","yellow","chr16-57411210-57411522","proximal",6599.5,4.06594737394183,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40558122-40558376","proximal",7222.5,3.5889896298883,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31566377-31566652","proximal",9052,3.25608908993448,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42277392-42277833","proximal",9934,5.70305460583327,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42298543-42299003","proximal",11226.5,2.01811780061332,"protein_coding"
"T1_MBC_to_prePB","STAT5A","yellow","chr17-42299073-42299760","proximal",11870,4.35700274235287,"protein_coding"
"T1_MBC_to_prePB","CD40","yellow","chr20-46130479-46130806","proximal",12371,5.53510613076369,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50432196-50432535","proximal",13428,12.0076688081868,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50398470-50398807","proximal",20299,3.96615518624912,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50440967-50441234","proximal",22163,2.92479459347646,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31548617-31548900","proximal",23295,2.72256628214151,"protein_coding"
"T1_MBC_to_prePB","CCR7","yellow","chr17-40540589-40540892","proximal",24731,5.81559859066599,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50393894-50394152","proximal",24914.5,3.55435563523495,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31548617-31548900","proximal",26808,2.72256628214151,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31544775-31545135","proximal",27098.5,2.83164114374328,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31543162-31543802","proximal",28571.5,4.04130379273564,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31544775-31545135","proximal",30611.5,2.83164114374328,"protein_coding"
"T1_MBC_to_prePB","LTA","yellow","chr6-31539992-31540527","proximal",31794,5.33848446511456,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31543162-31543802","proximal",32084.5,4.04130379273564,"protein_coding"
"T1_MBC_to_prePB","TNF","yellow","chr6-31539992-31540527","proximal",35307,5.33848446511456,"protein_coding"
"T1_MBC_to_prePB","SPIB","yellow","chr19-50380914-50381422","proximal",37769.5,7.34984290010484,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212661932-212662190","proximal",37923.5,11.1317092279354,"protein_coding"
"T1_MBC_to_prePB","AHR","yellow","chr7-17337975-17338229","proximal",39480.5,11.3429897342789,"protein_coding"
"T1_MBC_to_prePB","CCL22","yellow","chr16-57318338-57318790","proximal",40207.5,3.59441561180746,"protein_coding"
"T1_MBC_to_prePB","BATF3","yellow","chr1-212740423-212740673","proximal",40563.5,11.4868127268424,"protein_coding"
"T1_MBC_to_prePB","BHLHE40","yellow","chr3-5019915-5020429","proximal",41056.5,2.83392745414845,"protein_coding"
