"gene_symbol","gene_id","gene_id_clean","biotype","chromosome","start","end","strand","width","detected_in_data","pct_expressing","mean_expression","mean_MBC","mean_prePB","mean_PB","mean_PC"
"7SK","ENSG00000260682.2","ENSG00000260682","lincRNA","chr16",81993524,81996298,"+",2775,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000254144.2","ENSG00000254144","antisense","chr8",144624280,144624570,"+",291,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000249352.3","ENSG00000249352","lincRNA","chr5",68266266,68325992,"-",59727,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000232512.2","ENSG00000232512","lincRNA","chr21",26467335,26475983,"+",8649,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"A1BG-AS1","ENSG00000268895.1","ENSG00000268895","antisense","chr19",58859117,58866549,"+",7433,TRUE,2.52525252525253,0.0129776263241262,0.00199685938626327,0.0222945027073813,0.00824765007258235,0.00992694596880635
"AC000032.2","ENSG00000260246.1","ENSG00000260246","antisense","chr1",110235739,110236364,"-",626,TRUE,0.101010101010101,0.000369229568178312,0,0.000560826798423077,0.000664896185901583,0
"AC000068.10","ENSG00000273212.1","ENSG00000273212","antisense","chr22",19444026,19444485,"+",460,TRUE,0.227272727272727,0.00158181716772323,0,0.00107617048673995,0.00406275150130321,0.000712269249306187
"AC000068.5","ENSG00000185065.6","ENSG00000185065","antisense","chr22",19435416,19437628,"+",2213,TRUE,0.404040404040404,0.00204590514755658,0,0.00257704126120268,0.00295972739794365,0.00145502747063673
"AC000068.9","ENSG00000273300.1","ENSG00000273300","antisense","chr22",19441702,19442128,"+",427,TRUE,0.315656565656566,0.00340490423535394,0,0.00166786733642,0.0050283784802296,0.00604975447638813
"AC002116.7","ENSG00000267698.1","ENSG00000267698","antisense","chr19",36505410,36536874,"+",31465,TRUE,0.454545454545455,0.00221154447324394,0,0.00438231525112061,0.000977685170425148,0.00145048872342967
"AC002117.1","ENSG00000224505.2","ENSG00000224505","antisense","chr17",43227767,43238877,"-",11111,TRUE,0.416666666666667,0.00472753974727444,0.00666520547185084,0.00238729671566306,0.00674057174269702,0.00511646953628336
"AC002310.12","ENSG00000235560.3","ENSG00000235560","antisense","chr16",30546073,30548465,"+",2393,TRUE,3.49747474747475,0.0192214751400761,0.00175945738234676,0.0295651868586797,0.0172923245387301,0.0153225221188308
"AC002310.7","ENSG00000239791.1","ENSG00000239791","antisense","chr16",30583571,30595181,"+",11611,TRUE,0.202020202020202,0.00104351356047191,0,0.00178357422236044,0.00158708538919151,0
"AC002398.11","ENSG00000267439.1","ENSG00000267439","antisense","chr19",36237958,36244316,"-",6359,TRUE,0.126262626262626,0.000626469620011446,0,0.0010159595042575,0.00060040288050515,0.000418706131658937
"AC002454.1","ENSG00000237819.1","ENSG00000237819","antisense","chr7",92465797,92546501,"+",80705,TRUE,0.643939393939394,0.00261960355864416,0,0.00675883749471237,0.000628882494766735,0
"AC002456.2","ENSG00000223969.1","ENSG00000223969","antisense","chr7",90219933,90226667,"-",6735,TRUE,0.252525252525253,0.00111256133102494,0.00170251721213193,0.00209314474698039,0.000508384593259273,0
"AC002467.7","ENSG00000241764.3","ENSG00000241764","antisense","chr7",107383262,107385026,"-",1765,TRUE,1.80555555555556,0.00844058684563803,0,0.0179431376736922,0.00427083381866337,0.00328274018101854
"AC002480.2","ENSG00000238033.1","ENSG00000238033","lincRNA","chr7",22689579,22705152,"-",15574,TRUE,0.0505050505050505,0.000568849131291552,0.00213093541177591,0.000334237801190466,0.000674563300838139,0
