"transition","peak_id","peak_log2FC","gene_name","gene_biotype","distance_bp","tier","module"
"T1_MBC_to_prePB","chr19-16222177-16222690",6.1052330426715,"TPM4","protein_coding",155413,"distal","turquoise"
"T1_MBC_to_prePB","chr19-16222177-16222690",6.1052330426715,"KLF2","protein_coding",102383,"distal","brown"
"T1_MBC_to_prePB","chr3-119813627-119814156",6.87530428638681,"CD80","protein_coding",254290,"distal","yellow"
"T1_MBC_to_prePB","chr11-3818660-3819166",5.07908846816659,"RRM1","protein_coding",275793.5,"distal","turquoise"
"T1_MBC_to_prePB","chr3-49058954-49059577",5.59340669392202,"COL7A1","protein_coding",463999,"distal","blue"
"T1_MBC_to_prePB","chr3-49058954-49059577",5.59340669392202,"GPX1","protein_coding",299334,"distal","turquoise"
"T1_MBC_to_prePB","chr7-148725564-148725844",8.40759615391828,"EZH2","protein_coding",158616.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-25164964-25165247",7.65630194130345,"CYCS","protein_coding",39745,"proximal","turquoise"
"T1_MBC_to_prePB","chr11-10879344-10879852",7.69313507055798,"ZBED5-AS1","antisense",21339.5,"proximal","blue"
"T1_MBC_to_prePB","chr11-6255878-6256142",6.7284929627337,"PRKCDBP","protein_coding",64636.5,"distal","yellow"
"T1_MBC_to_prePB","chr3-156392047-156392337",7.98017561174723,"LINC00886","lincRNA",424869.5,"distal","blue"
"T1_MBC_to_prePB","chr11-65819563-65819840",8.15551091250819,"NEAT1","lincRNA",396928,"distal","blue"
"T1_MBC_to_prePB","chr11-65819563-65819840",8.15551091250819,"MALAT1","lincRNA",321940,"distal","blue"
"T1_MBC_to_prePB","chr11-65819563-65819840",8.15551091250819,"CFL1","protein_coding",42324,"proximal","turquoise"
"T1_MBC_to_prePB","chr11-65819563-65819840",8.15551091250819,"FOSL1","protein_coding",80871,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64645941-64646500",6.5634253183258,"STIP1","protein_coding",460949,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64645941-64646500",6.5634253183258,"PPP1R14B","protein_coding",399280,"distal","turquoise"
"T1_MBC_to_prePB","chr11-64645941-64646500",6.5634253183258,"AP003774.1","antisense",316717,"distal","blue"
"T1_MBC_to_prePB","chr11-64645941-64646500",6.5634253183258,"BATF2","protein_coding",350824,"distal","blue"
"T1_MBC_to_prePB","chr17-40761371-40761645",6.75824383623097,"TOP2A","protein_coding",343558.5,"distal","turquoise"
"T1_MBC_to_prePB","chr17-40761371-40761645",6.75824383623097,"RP5-1028K7.2","lincRNA",244482.5,"distal","yellow"
"T1_MBC_to_prePB","chr17-40761371-40761645",6.75824383623097,"CCR7","protein_coding",196036.5,"distal","yellow"
"T1_MBC_to_prePB","chr17-40761371-40761645",6.75824383623097,"TMEM99","protein_coding",57597.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-105925513-105925784",7.35154632301254,"NAMPT","protein_coding",360677,"distal","turquoise"
"T1_MBC_to_prePB","chr7-105925513-105925784",7.35154632301254,"RP11-22N19.2","antisense",359831,"distal","turquoise"
"T1_MBC_to_prePB","chr17-45726756-45727268",4.24408421794356,"AC091132.1","antisense",274168.5,"distal","blue"
"T1_MBC_to_prePB","chr17-45726756-45727268",4.24408421794356,"KANSL1-AS1","antisense",466563.5,"distal","blue"
"T1_MBC_to_prePB","chr14-99947330-99947610",6.83169686118697,"WARS","protein_coding",429334.5,"distal","turquoise"
"T1_MBC_to_prePB","chr19-50145118-50145380",6.34476720812543,"PRMT1","protein_coding",469463.5,"distal","turquoise"
"T1_MBC_to_prePB","chr19-50145118-50145380",6.34476720812543,"ATF5","protein_coding",216547.5,"distal","turquoise"
"T1_MBC_to_prePB","chr19-50145118-50145380",6.34476720812543,"SPIB","protein_coding",273688.5,"distal","yellow"
"T1_MBC_to_prePB","chr19-48018279-48018529",13.2208947702146,"SEPW1","protein_coding",239832.5,"distal","turquoise"
"T1_MBC_to_prePB","chr2-135676155-135676410",7.12939078119907,"MCM6","protein_coding",200143,"distal","turquoise"
"T1_MBC_to_prePB","chr2-135676155-135676410",7.12939078119907,"CXCR4","protein_coding",441882,"distal","turquoise"
"T1_MBC_to_prePB","chr12-56511937-56512240",8.01126985106071,"PA2G4","protein_coding",407770,"distal","turquoise"
"T1_MBC_to_prePB","chr4-17578685-17579192",5.93298215708406,"NCAPG","protein_coding",231963,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44621695-44621965",6.78879959330641,"PPIA","protein_coding",174849.5,"distal","turquoise"
"T1_MBC_to_prePB","chr7-44621695-44621965",6.78879959330641,"SNHG15","lincRNA",365130.5,"distal","turquoise"
"T1_MBC_to_prePB","chr6-32163474-32163771",4.83628213756775,"LSM2","protein_coding",356639,"distal","turquoise"
"T1_MBC_to_prePB","chr6-32163474-32163771",4.83628213756775,"HSPA1A","protein_coding",348159,"distal","turquoise"
