"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","transition","from_stage","to_stage","direction","significant"
0,8.889022068449,0.977,0.01,0,"chr20-26189915-26190173","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,8.40759615391828,0.743,0.002,0,"chr7-148725564-148725844","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,8.15551091250819,0.687,0.002,0,"chr11-65819563-65819840","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.98017561174723,0.695,0.003,0,"chr3-156392047-156392337","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.94822990698135,0.696,0.003,0,"chr3-141456902-141457185","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.69313507055798,0.701,0.003,0,"chr11-10879344-10879852","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.65630194130345,0.71,0.003,0,"chr7-25164964-25165247","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.60593213085541,0.699,0.003,0,"chr16-21531415-21531949","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.53076160558735,0.544,0.003,0,"chr9-79186682-79186938","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.21034362720978,0.683,0.005,0,"chr3-150264263-150264526","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.05702353324118,0.697,0.005,0,"chr3-195163745-195164015","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.03495762795007,0.7,0.005,0,"chr14-91527028-91527297","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.98245388693624,0.723,0.005,0,"chr11-67275720-67276026","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.9620865501987,0.546,0.004,0,"chr12-127650771-127651052","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.93671725925503,0.709,0.006,0,"chr4-2264009-2264263","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.92151480988267,0.7,0.005,0,"chr7-108166641-108166924","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.90195295231537,0.774,0.01,0,"chr17-33478050-33478310","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.87530428638681,0.787,0.007,0,"chr3-119813627-119814156","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.7284929627337,0.7,0.006,0,"chr11-6255878-6256142","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.5634253183258,0.685,0.007,0,"chr11-64645941-64646500","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.41171155846789,0.739,0.007,0,"chr4-153457284-153457555","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.2430232037562,0.704,0.01,0,"chr6-167040695-167041222","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.1052330426715,0.809,0.015,0,"chr19-16222177-16222690","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,5.59340669392202,0.768,0.017,0,"chr3-49058954-49059577","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,5.07908846816659,0.808,0.028,0,"chr11-3818660-3819166","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,4.71696623797187,0.852,0.05,0,"chr2-133015103-133015357","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,3.1390448370475,0.818,0.168,0,"chrX-108297568-108297821","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
9.88131291682493e-324,6.78151641314486,0.698,0.005,3.05600352709936e-318,"chr10-75936286-75936546","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
1.72922976044436e-322,7.95357182490244,0.669,0.002,5.34800617242389e-317,"chr2-219134899-219135155","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.59384464066654e-321,6.75824383623097,0.69,0.006,8.02200925863583e-316,"chr17-40761371-40761645","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
1.26777244722864e-320,7.35154632301254,0.676,0.004,3.92085252526848e-315,"chr7-105925513-105925784","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.98415650088113e-320,6.52994907439673,0.635,0.007,9.22913065184008e-315,"chr2-133038969-133039223","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
6.51519426514393e-319,4.24408421794356,0.766,0.046,2.01496064557533e-313,"chr17-45726756-45727268","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
1.23359545617757e-317,6.83169686118697,0.67,0.005,3.81515300327493e-312,"chr14-99947330-99947610","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.58407646878262e-317,6.34476720812543,0.679,0.008,7.99179913576869e-312,"chr19-50145118-50145380","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
5.80729841586969e-315,13.2208947702146,0.641,0,1.79602898837443e-309,"chr19-48018279-48018529","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
3.74070070810646e-312,6.19400394627894,0.683,0.008,1.15689024869679e-306,"chr13-96329170-96329439","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
1.59092571788275e-310,5.63197198983116,0.707,0.014,4.92027187695317e-305,"chr17-19281263-19281691","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.25293972698504e-310,7.12939078119907,0.646,0.004,6.96768922304391e-305,"chr2-135676155-135676410","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.64132941904689e-310,6.29626436154957,0.683,0.009,8.1688659075805e-305,"chr11-9594922-9595185","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
2.67800221107016e-310,8.01126985106071,0.652,0.002,8.28228421819879e-305,"chr12-56511937-56512240","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
