"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","peak","transition","from_stage","to_stage","direction","significant"
0,8.889022068449,0.977,0.01,0,"chr20-26189915-26190173","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-14.0680261541729,0,0.862,0,"chr2-133010544-133010797","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,4.71696623797187,0.852,0.05,0,"chr2-133015103-133015357","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.1052330426715,0.809,0.015,0,"chr19-16222177-16222690","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.87530428638681,0.787,0.007,0,"chr3-119813627-119814156","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,5.07908846816659,0.808,0.028,0,"chr11-3818660-3819166","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.90195295231537,0.774,0.01,0,"chr17-33478050-33478310","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,5.59340669392202,0.768,0.017,0,"chr3-49058954-49059577","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,8.40759615391828,0.743,0.002,0,"chr7-148725564-148725844","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-8.11459013236676,0.006,0.739,0,"chr5-137868645-137868916","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,6.41171155846789,0.739,0.007,0,"chr4-153457284-153457555","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-5.93186833441259,0.03,0.751,0,"chr20-25991290-25991580","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-8.07541069004248,0.007,0.726,0,"chr5-71078398-71078657","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,6.98245388693624,0.723,0.005,0,"chr11-67275720-67276026","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-4.98561462894104,0.042,0.751,0,"chr2-133014452-133014956","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,7.65630194130345,0.71,0.003,0,"chr7-25164964-25165247","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.93671725925503,0.709,0.006,0,"chr4-2264009-2264263","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-5.09520393995847,0.045,0.744,0,"chr19-4959044-4959626","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,7.69313507055798,0.701,0.003,0,"chr11-10879344-10879852","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.60593213085541,0.699,0.003,0,"chr16-21531415-21531949","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.92151480988267,0.7,0.005,0,"chr7-108166641-108166924","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.03495762795007,0.7,0.005,0,"chr14-91527028-91527297","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.2430232037562,0.704,0.01,0,"chr6-167040695-167041222","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.7284929627337,0.7,0.006,0,"chr11-6255878-6256142","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.94822990698135,0.696,0.003,0,"chr3-141456902-141457185","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.98017561174723,0.695,0.003,0,"chr3-156392047-156392337","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,7.05702353324118,0.697,0.005,0,"chr3-195163745-195164015","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-5.83837064460888,0.025,0.715,0,"chr7-21395074-21395474","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8641457267963,0,0.689,0,"chr11-85106604-85106854","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.66788516242018,0.013,0.702,0,"chr16-50743314-50743613","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.34472415111892,0.037,0.724,0,"chr19-10978387-10978736","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,8.15551091250819,0.687,0.002,0,"chr11-65819563-65819840","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-7.48609214645899,0.008,0.692,0,"chr19-16215822-16216102","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.9150150842888,0,0.683,0,"chr7-12724849-12725099","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.9073343459461,0,0.683,0,"chr14-93249794-93250259","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.93934719643242,0.011,0.694,0,"chr19-795561-796481","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.66191471377425,0.015,0.697,0,"chr17-37908481-37908805","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.9092718641241,0,0.68,0,"chr11-108093070-108093320","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,7.21034362720978,0.683,0.005,0,"chr3-150264263-150264526","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,6.5634253183258,0.685,0.007,0,"chr11-64645941-64646500","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-4.20209774801424,0.088,0.764,0,"chr2-208393433-208393732","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.55066208462079,0.016,0.692,0,"chr2-178031000-178031322","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.61592503487449,0.013,0.682,0,"chr7-108144036-108144312","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.17525232352417,0.034,0.702,0,"chr4-2263415-2263692","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8936157349109,0,0.667,0,"chr13-25810978-25811228","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8346092182573,0,0.665,0,"chr19-5621884-5622369","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8948936411647,0,0.665,0,"chr20-35231955-35232205","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8848619362479,0,0.663,0,"chr3-156378822-156379076","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8676074716783,0,0.663,0,"chr5-179124665-179124967","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8916082234735,0,0.663,0,"chr17-40757784-40758034","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.58931746373088,0.013,0.674,0,"chr3-141456080-141456340","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.79259426470494,0.011,0.672,0,"chr16-30664011-30664422","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.6010437231946,0.006,0.664,0,"chr20-34539985-34540297","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.30763495496786,0.036,0.694,0,"chr14-64969279-64969612","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.27270079439398,0.008,0.664,0,"chr3-150256460-150256918","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.20059728384356,0.037,0.693,0,"chr14-77547958-77548244","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8739738441557,0,0.653,0,"chr12-122699022-122699272","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8750466486959,0,0.653,0,"chr16-4302467-4302717","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8663015175098,0,0.651,0,"chr18-76402822-76403072","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,3.1390448370475,0.818,0.168,0,"chrX-108297568-108297821","T1_MBC_to_prePB","MBC","prePB","opening",TRUE
0,-5.89790468296649,0.023,0.671,0,"chr4-57299864-57300206","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.51658583264198,0.014,0.662,0,"chr7-108208659-108208969","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.09863343208989,0.019,0.667,0,"chr9-91897166-91897482","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.60493598086944,0.026,0.671,0,"chr15-93351329-93351615","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8658571246344,0,0.644,0,"chr4-76644778-76645028","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.38717940668436,0.014,0.657,0,"chrX-1568130-1568447","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-7.61117738111544,0.006,0.646,0,"chr2-171779458-171779767","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.61501658761176,0.012,0.652,0,"chr10-104144669-104144961","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.15154302887791,0.039,0.678,0,"chr18-56760798-56761164","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.52252105056245,0.013,0.651,0,"chr17-81008629-81009117","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.44965869600332,0.067,0.705,0,"chr9-4763152-4763431","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.47606309724122,0.014,0.65,0,"chr15-42064623-42065072","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.18833571519809,0.016,0.652,0,"chr20-49346444-49346829","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-4.81857889294709,0.046,0.68,0,"chr10-1089843-1090364","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-6.90377484965513,0.011,0.644,0,"chr7-45024990-45025315","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8416277310417,0,0.633,0,"chr10-75928362-75928612","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-13.8370848830914,0,0.633,0,"chr19-9904988-9905238","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
0,-5.86812076796193,0.023,0.655,0,"chr7-75535252-75535723","T1_MBC_to_prePB","MBC","prePB","closing",TRUE
