"transition","gene_name","module","peak_id","tier","distance_bp","peak_log2FC","gene_biotype"
"T1_MBC_to_prePB","IFI6","blue","chr1-27683478-27683734","proximal",11388.5,10.6913163789624,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78965959-78966428","proximal",13915,3.63643373958308,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78965501-78965791","proximal",14462.5,2.3757620442306,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78997622-78997886","proximal",17645.5,4.21293544490571,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65479433-65479714","proximal",18188,0.716108247297884,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-6734839-6735325","proximal",20364.5,4.23950538748771,"protein_coding"
"T1_MBC_to_prePB","IFI6","blue","chr1-27692458-27692875","proximal",20449,1.71873111166303,"protein_coding"
"T1_MBC_to_prePB","IFI6","blue","chr1-27692981-27693667","proximal",21106.5,2.67673859136989,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79008864-79009133","proximal",28890,4.01435426908304,"protein_coding"
"T1_MBC_to_prePB","ISG15","blue","chr1-967866-968140","proximal",33134.5,11.1147431596788,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79014518-79014947","proximal",34624,3.66578155620175,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79023939-79024277","proximal",43999.5,4.45694893145522,"protein_coding"
"T1_MBC_to_prePB","ITGA6","blue","chr2-172379569-172380212","proximal",47463,11.8334458775457,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65547495-65547764","proximal",49868,1.36795901836474,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65548277-65548760","distal",50757,3.5149100920325,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65548818-65549138","distal",51216.5,10.8017354972443,"lincRNA"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31284021-31284443","distal",53394.5,2.79620540700283,"lincRNA"
"T1_MBC_to_prePB","TNFSF10","blue","chr3-172468272-172468540","distal",55100.5,4.77241554936574,"protein_coding"
"T1_MBC_to_prePB","IFIT3","blue","chr10-89264420-89264802","distal",63282.5,2.53380851607925,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65430456-65430801","distal",67133,6.98913081113284,"lincRNA"
"T1_MBC_to_prePB","IFI6","blue","chr1-27744913-27745175","distal",72826.5,2.20714404563665,"protein_coding"
"T1_MBC_to_prePB","ITGA6","blue","chr2-172508979-172509229","distal",81750.5,11.2648330420223,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65405933-65406219","distal",91685.5,2.59939859421542,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65405417-65405721","distal",92192.5,1.52147917039293,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79075569-79075832","distal",95592,5.72714425344812,"protein_coding"
"T1_MBC_to_prePB","RP11-284N8.3","blue","chr1-110752949-110753212","distal",96041,11.5219823540272,"lincRNA"
"T1_MBC_to_prePB","RP11-284N8.3","blue","chr1-110757467-110758054","distal",100721,11.8193497003547,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65601197-65601476","distal",103575,5.95683525058271,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65393501-65393780","distal",104121,3.62260795651979,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79093435-79093704","distal",113461,4.8762426119731,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78865937-78866262","distal",114009,12.008045199506,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65617219-65618047","distal",119871.5,3.75700637667138,"lincRNA"
"T1_MBC_to_prePB","ISG15","blue","chr1-873402-873924","distal",127474.5,2.98134743222157,"protein_coding"
"T1_MBC_to_prePB","IFIT1","blue","chr10-89264420-89264802","distal",127934.5,2.53380851607925,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65627748-65628014","distal",130119.5,5.87764156937952,"lincRNA"
"T1_MBC_to_prePB","IFI6","blue","chr1-27807910-27808294","distal",135884.5,3.70398176930954,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79116580-79116843","distal",136603,3.66712003484065,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31373774-31374281","distal",143190,3.0703814120921,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65641042-65641342","distal",143430.5,5.65882456148491,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78830318-78830579","distal",149660,11.9340716293991,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65344978-65345319","distal",152613,11.0455447800574,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65343416-65343682","distal",154212.5,11.1662484768856,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65341685-65342010","distal",155914,2.02278755085953,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65655858-65656162","distal",158248.5,4.09895200890713,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78820118-78820394","distal",159852.5,4.03980408180239,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65337574-65337833","distal",160058,4.91077599002272,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-6915678-6915956","distal",160370.5,2.41025360281062,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6917972-6918255","distal",162667,1.2284973921261,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65667903-65668168","distal",170274,5.87518080520805,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-6926954-6927222","distal",171641.5,5.26840275852087,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78806858-78807118","distal",173120.5,4.9859910798129,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65319596-65319909","distal",178009,3.4584229332532,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65313859-65314140","distal",183762,2.96974761255075,"lincRNA"
"T1_MBC_to_prePB","IFIT1","blue","chr10-89577879-89578150","distal",185469,6.83983829638555,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65686727-65686984","distal",189094,2.47880643182697,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65307406-65307656","distal",190230.5,12.3117786190035,"lincRNA"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31421446-31421762","distal",190766.5,3.08134521016324,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-6946856-6947455","distal",191709,3.99309761693322,"protein_coding"
"T1_MBC_to_prePB","IFI6","blue","chr1-27478593-27478925","distal",193458.5,10.748397464063,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6955456-6955774","distal",200168.5,4.11901833936476,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6554787-6555088","distal",200509,3.82338455621528,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65292534-65292836","distal",205076.5,4.76839631128564,"lincRNA"
"T1_MBC_to_prePB","ISG15","blue","chr1-1209422-1209703","distal",208425,11.6331695209439,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6544030-6544385","distal",211239,1.58798698679536,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79197003-79197326","distal",217056,1.98571325147855,"protein_coding"
"T1_MBC_to_prePB","HIST1H2BK","blue","chr6-26924642-26924921","distal",222016,3.55707593603481,"protein_coding"
"T1_MBC_to_prePB","IFIT1","blue","chr10-89623181-89623496","distal",230793,1.31660192885143,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65264868-65265425","distal",232615,3.97559235036158,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79215497-79215753","distal",235516.5,2.97644032079301,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65259322-65259612","distal",238294.5,3.11808331445006,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79218576-79219145","distal",238752,3.74255642550878,"protein_coding"
"T1_MBC_to_prePB","ISG15","blue","chr1-1243919-1244211","distal",242927.5,11.801190934912,"protein_coding"
"T1_MBC_to_prePB","IFIT3","blue","chr10-89577879-89578150","distal",250121,6.83983829638555,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65244941-65245204","distal",252689,4.00344396804739,"lincRNA"
"T1_MBC_to_prePB","IFI27","blue","chr14-94359235-94359588","distal",254576,3.88100974987109,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-94373019-94373335","distal",268341.5,3.66765844850768,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65770136-65770450","distal",272531.5,11.3058359904666,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65222506-65222772","distal",275122.5,5.84560964773244,"lincRNA"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31507755-31508025","distal",277052.5,3.21642260522283,"lincRNA"
"T1_MBC_to_prePB","ISG15","blue","chr1-1283095-1283552","distal",282186,10.7411529807443,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31521446-31521721","distal",290746,3.81376468561938,"lincRNA"
"T1_MBC_to_prePB","HIST1H2BK","blue","chr6-27440721-27441009","distal",294067.5,4.13167481973955,"protein_coding"
"T1_MBC_to_prePB","IFIT3","blue","chr10-89623181-89623496","distal",295445,1.31660192885143,"protein_coding"
"T1_MBC_to_prePB","HIST1H2BK","blue","chr6-27447078-27447611","distal",300547,3.46062980151802,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-94406000-94406267","distal",301298,2.53132595645142,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79282956-79283495","distal",303117,3.27361684499213,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-93799364-93799653","distal",305327,3.210038443757,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65190374-65190666","distal",307241.5,12.1928405034236,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65190066-65190331","distal",307563,5.4752900729287,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65189588-65189875","distal",308030,2.34257495734852,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65183867-65184126","distal",313765,3.30967905409287,"lincRNA"
"T1_MBC_to_prePB","RASSF6","blue","chr4-73935295-73935561","distal",314797.5,7.31327970388426,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65812646-65812912","distal",315017.5,5.38358288656545,"lincRNA"
"T1_MBC_to_prePB","IFI27","blue","chr14-94425737-94425996","distal",321031,1.36939100629779,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65819563-65819840","distal",321940,8.15551091250819,"lincRNA"
"T1_MBC_to_prePB","RP11-284N8.3","blue","chr1-110333422-110333732","distal",323462.5,2.34263082185971,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-7080817-7081142","distal",325533,4.50092382000883,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31558762-31559115","distal",328101,11.4195015278933,"lincRNA"
"T1_MBC_to_prePB","ISG15","blue","chr1-1333635-1333993","distal",332676.5,10.7048962944686,"protein_coding"
"T1_MBC_to_prePB","IFI6","blue","chr1-27339276-27339543","distal",332808,1.80490179655434,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65837654-65837919","distal",340025,2.87716796724666,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79320023-79320293","distal",340049.5,5.49503471079975,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65153892-65154167","distal",343732,5.76886428341805,"lincRNA"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65149765-65150041","distal",347858.5,6.43020306473501,"lincRNA"
"T1_MBC_to_prePB","ISG15","blue","chr1-1361204-1361969","distal",360449,11.0781166624953,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7117663-7118406","distal",362588,1.18741294307201,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-94468053-94468334","distal",363358,3.82587888014659,"protein_coding"
"T1_MBC_to_prePB","IFIT3","blue","chr10-88963283-88963545","distal",364479.5,3.78340488762775,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7123091-7123370","distal",367784,2.91794577389326,"protein_coding"
"T1_MBC_to_prePB","RSAD2","blue","chr2-7237452-7237841","distal",371841,2.01909720664183,"protein_coding"
"T1_MBC_to_prePB","ISG15","blue","chr1-1373440-1373706","distal",372435.5,10.7704005705688,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6376526-6376875","distal",378746,3.76119357769428,"protein_coding"
"T1_MBC_to_prePB","IFI27","blue","chr14-94492544-94492804","distal",387838.5,5.34107306558077,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31618575-31618991","distal",387945.5,1.89139956049452,"lincRNA"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31620680-31620960","distal",389982.5,1.95466804237596,"lincRNA"
"T1_MBC_to_prePB","XAF1","blue","chr17-7146246-7146526","distal",390939.5,4.04406059358404,"protein_coding"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-79375756-79376011","distal",395775,10.7690891594902,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-7155380-7155645","distal",400066,6.52643634215584,"protein_coding"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31630739-31631248","distal",400156,4.49259414547834,"lincRNA"
"T1_MBC_to_prePB","LGALS3BP","blue","chr17-78579425-78580025","distal",400383.5,4.28988035632065,"protein_coding"
"T1_MBC_to_prePB","XAF1","blue","chr17-6347449-6347755","distal",407844.5,5.42170929865238,"protein_coding"
"T1_MBC_to_prePB","ITGA6","blue","chr2-172017590-172017887","distal",409615,3.39948732009501,"protein_coding"
"T1_MBC_to_prePB","MALAT1","blue","chr11-65083086-65083363","distal",414537,4.48308507814643,"lincRNA"
"T1_MBC_to_prePB","RP11-16E12.2","blue","chr15-31645713-31646022","distal",415030,10.5865833844507,"lincRNA"
