"gene_symbol","gene_id","gene_id_clean","biotype","chromosome","start","end","strand","width","detected_in_data","pct_expressing","mean_expression","mean_MBC","mean_prePB","mean_PB","mean_PC"
"5S_rRNA","ENSG00000261122.2","ENSG00000261122","lincRNA","chr16",34977639,34990886,"+",13248,FALSE,NA,NA,NA,NA,NA,NA
"7SK","ENSG00000260682.2","ENSG00000260682","lincRNA","chr16",81993524,81996298,"+",2775,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000254144.2","ENSG00000254144","antisense","chr8",144624280,144624570,"+",291,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000249352.3","ENSG00000249352","lincRNA","chr5",68266266,68325992,"-",59727,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"7SK","ENSG00000232512.2","ENSG00000232512","lincRNA","chr21",26467335,26475983,"+",8649,TRUE,8.73737373737374,0.0680086777507046,0.131061146196501,0.0550540801887917,0.0599736483620159,0.0618993766017443
"A1BG-AS1","ENSG00000268895.1","ENSG00000268895","antisense","chr19",58859117,58866549,"+",7433,TRUE,2.52525252525253,0.0129776263241262,0.00199685938626327,0.0222945027073813,0.00824765007258235,0.00992694596880635
"A2M-AS1","ENSG00000245105.1","ENSG00000245105","antisense","chr12",9217773,9220651,"+",2879,FALSE,NA,NA,NA,NA,NA,NA
"A2ML1-AS1","ENSG00000256661.1","ENSG00000256661","antisense","chr12",8928815,8983543,"-",54729,FALSE,NA,NA,NA,NA,NA,NA
"A2ML1-AS2","ENSG00000256904.1","ENSG00000256904","antisense","chr12",8972412,8973309,"-",898,FALSE,NA,NA,NA,NA,NA,NA
"AATK-AS1","ENSG00000225180.2","ENSG00000225180","antisense","chr17",79139307,79156964,"+",17658,FALSE,NA,NA,NA,NA,NA,NA
"AB019440.50","ENSG00000271201.1","ENSG00000271201","lincRNA","chr14",106663246,106665214,"+",1969,FALSE,NA,NA,NA,NA,NA,NA
